# Constructed from biom file
#OTU ID	ERR2233229	ERR2233255	ERR2233253	ERR2233254	ERR2233231	ERR2233239	ERR2233233	ERR2233235	ERR2233236	ERR2233240	ERR2233238	ERR2233271	ERR2233241	ERR2233248	ERR2233243	ERR2233245	ERR2233246	ERR2233249	ERR2233250	ERR2233251	ERR2233259	ERR2233264	ERR2233265	ERR2233268	ERR2233277	ERR2233278	ERR2233287	ERR2233317	ERR2233261	ERR2233270	ERR2233266	ERR2233234	ERR2233247	ERR2233257	ERR2233262	ERR2233269	ERR2233267	ERR2233237	ERR2233256	ERR2233286	ERR2233292	ERR2233294	ERR2233310	ERR2233293	ERR2233299	ERR2233301	ERR2233303	ERR2233260	ERR2233279	ERR2233302	ERR2233263	ERR2233244	ERR2233304	ERR2233273	ERR2233276	ERR2233318	ERR2233258	ERR2233312	ERR2233307	ERR2233272	ERR2233309	ERR2233274	ERR2233275	ERR2233280	ERR2233281	ERR2233282	ERR2233283	ERR2233284	ERR2233285	ERR2233289	ERR2233297	ERR2233295	ERR2233296	ERR2233313	ERR2233300	ERR2233314	ERR2233305	ERR2233311	ERR2233306	ERR2233308	ERR2233315	ERR2233316	ERR2233319	ERR2233320	ERR2233321	ERR2233230	ERR2233242	ERR2233288	ERR2233290	ERR2233291	ERR2233232	ERR2233252	ERR2233298	ERR2233322	ERR2233324	ERR2233323	ERR2233326	ERR2233325
Cellular Processes;Cell Communication	372.0	830.0	373.0	268.0	318.0	285.0	321.0	275.0	310.0	356.0	295.0	412.0	381.0	222.0	254.0	237.0	215.0	215.0	211.0	596.0	396.0	367.0	406.0	891.0	832.0	1485.0	179.0	542.0	256.0	466.0	464.0	290.0	250.0	282.0	370.0	361.0	471.0	225.0	203.0	195.0	283.0	16.0	152.0	173.0	40.0	125.0	36.0	213.0	508.0	0.0	367.0	236.0	167.0	476.0	1159.0	678.0	154.0	251.0	142.0	731.0	191.0	916.0	579.0	353.0	396.0	252.0	228.0	215.0	230.0	7.0	158.0	361.0	98.0	151.0	64.0	166.0	189.0	173.0	170.0	120.0	97.0	1128.0	1304.0	655.0	881.0	345.0	295.0	15.0	7.0	11.0	315.0	165.0	0.0	0.0	0.0	1.0	0.0	0.0
Cellular Processes;Cell Growth and Death	226726.0	192662.0	210668.0	178037.0	171753.0	158251.0	179051.0	155587.0	206177.0	188736.0	149717.0	193237.0	201614.0	194350.0	150696.0	156750.0	140863.0	204714.0	201205.0	256335.0	109297.0	171642.0	198913.0	254154.0	251878.0	262339.0	176530.0	117068.0	142132.0	198225.0	206762.0	172838.0	165347.0	246458.0	204760.0	201703.0	234079.0	141070.0	180908.0	189191.0	251325.0	5616.0	150852.0	208025.0	181322.0	260087.0	126959.0	139653.0	163213.0	17202.0	184882.0	153489.0	169920.0	267652.0	229490.0	113659.0	163150.0	255057.0	172561.0	223508.0	221329.0	265678.0	214565.0	255199.0	341898.0	280831.0	269510.0	251406.0	279611.0	165797.0	221872.0	204070.0	164607.0	185918.0	223474.0	237129.0	182175.0	156770.0	169562.0	168716.0	209964.0	239306.0	147782.0	120603.0	131736.0	203062.0	174289.0	122587.0	121470.0	125796.0	170177.0	117756.0	1867.0	617.0	484.0	967.0	359.0	468.0
Cellular Processes;Cell Motility	1529140.0	1305244.0	1406643.0	1354441.0	1073664.0	1106153.0	1140487.0	1021245.0	1391585.0	1257975.0	972894.0	1089785.0	1301944.0	1335492.0	942355.0	1011581.0	935992.0	1430223.0	1403976.0	1670274.0	600208.0	971529.0	1098309.0	1565811.0	1277485.0	1368594.0	1339228.0	706300.0	830851.0	1130517.0	1166537.0	1216162.0	1054254.0	1676918.0	992260.0	1148638.0	1341733.0	938593.0	1329065.0	1417010.0	1812784.0	37852.0	985431.0	1487327.0	1514763.0	2066373.0	926961.0	782985.0	871248.0	100668.0	1024761.0	991608.0	1024208.0	1472517.0	1255706.0	710624.0	1222347.0	1645154.0	1269727.0	1299682.0	1693907.0	1559425.0	1207756.0	1391786.0	1516718.0	1209030.0	1037239.0	1223212.0	1407971.0	1457352.0	1626511.0	1467899.0	1197561.0	1073644.0	1514677.0	1593162.0	1115707.0	1247437.0	1134680.0	1527123.0	1825833.0	1507499.0	878248.0	793474.0	831466.0	1316636.0	1098192.0	1056919.0	865956.0	1215002.0	1150078.0	780409.0	15466.0	2959.0	1791.0	3254.0	2472.0	2237.0
Cellular Processes;Transport and Catabolism	127569.0	116566.0	117114.0	111195.0	111452.0	101476.0	116979.0	97132.0	127848.0	122109.0	96127.0	118909.0	129889.0	120225.0	93915.0	102579.0	88966.0	124728.0	124249.0	151339.0	69996.0	109604.0	125581.0	177978.0	159127.0	166680.0	114253.0	87759.0	90503.0	123365.0	123513.0	113062.0	108123.0	146582.0	127827.0	124897.0	140889.0	89377.0	112488.0	124209.0	149156.0	3673.0	101402.0	124439.0	133573.0	183884.0	84700.0	88392.0	97483.0	13122.0	117882.0	97485.0	115066.0	158264.0	147426.0	95923.0	98861.0	164179.0	110400.0	144568.0	146723.0	172856.0	127858.0	166651.0	217061.0	168822.0	196046.0	167090.0	174456.0	118739.0	130433.0	119654.0	98530.0	131194.0	157199.0	147129.0	122533.0	102654.0	112101.0	110779.0	133942.0	175014.0	129859.0	88344.0	93683.0	123407.0	109092.0	87704.0	86545.0	81125.0	107009.0	71713.0	1295.0	356.0	334.0	678.0	357.0	342.0
Environmental Information Processing;Membrane Transport	3526553.0	3043747.0	3209559.0	3764054.0	2620143.0	2760927.0	2785090.0	2440101.0	3391660.0	2966292.0	2355982.0	3115632.0	3131578.0	3154188.0	2346564.0	2506684.0	2270244.0	3406145.0	3292172.0	4019256.0	1927447.0	2817825.0	3267736.0	4363216.0	4107386.0	3919531.0	4193149.0	1988785.0	2351741.0	3189663.0	3269848.0	3146753.0	2564418.0	4008077.0	3382137.0	3247883.0	3764368.0	2287903.0	3599877.0	4228972.0	5517844.0	125768.0	3392845.0	4551395.0	4748667.0	6827542.0	3095948.0	2300652.0	2504218.0	421737.0	3047349.0	2368950.0	3286238.0	4570480.0	3530477.0	2109190.0	3413152.0	5425833.0	4440688.0	3674829.0	5128989.0	4402764.0	3659732.0	5552278.0	5841230.0	3805298.0	3419551.0	4934142.0	5538446.0	4342332.0	4946030.0	4527358.0	3691688.0	3859273.0	5113852.0	5403995.0	3615219.0	4756395.0	3653867.0	4052709.0	7020371.0	4147378.0	2630721.0	2076612.0	2321383.0	3303143.0	2707630.0	3212841.0	3035150.0	4885939.0	2977811.0	1898079.0	47912.0	13544.0	12524.0	21163.0	8179.0	10480.0
Environmental Information Processing;Signal Transduction	895372.0	778885.0	824547.0	874742.0	664465.0	688438.0	703128.0	624119.0	846637.0	761758.0	590294.0	742333.0	794658.0	809180.0	592248.0	631445.0	571177.0	861032.0	845237.0	1003182.0	416447.0	660341.0	761397.0	997851.0	892544.0	939333.0	879655.0	445663.0	558365.0	760587.0	779273.0	768457.0	657137.0	1008220.0	755682.0	782710.0	891340.0	574457.0	848597.0	921070.0	1188302.0	26061.0	666558.0	974805.0	1026693.0	1446591.0	637557.0	539235.0	588799.0	79660.0	713867.0	609983.0	686974.0	1061858.0	834785.0	468511.0	792519.0	1068133.0	882045.0	868824.0	1020440.0	1052549.0	791027.0	1025966.0	1099890.0	906832.0	873431.0	878691.0	1081970.0	933855.0	1057157.0	960201.0	776734.0	768864.0	1062554.0	1024540.0	744817.0	888788.0	731286.0	853060.0	1327893.0	932562.0	584174.0	494706.0	525912.0	817825.0	682659.0	683223.0	611679.0	948776.0	724561.0	475026.0	10672.0	2357.0	2095.0	3257.0	1587.0	1752.0
Environmental Information Processing;Signaling Molecules and Interaction	54867.0	51249.0	51020.0	57046.0	48043.0	47155.0	49311.0	40723.0	51561.0	52490.0	41634.0	52007.0	54955.0	51767.0	39169.0	40635.0	35536.0	52906.0	52975.0	65065.0	31395.0	44813.0	51153.0	78730.0	71377.0	80976.0	54362.0	37905.0	36586.0	55167.0	55535.0	51678.0	44731.0	59290.0	59087.0	54472.0	62382.0	36863.0	52702.0	57198.0	73262.0	1636.0	50251.0	61228.0	57523.0	76325.0	36512.0	37199.0	44327.0	4447.0	49089.0	40481.0	57473.0	71874.0	66397.0	43260.0	47628.0	82651.0	66812.0	60217.0	69292.0	74414.0	56098.0	91576.0	111535.0	100022.0	132927.0	77802.0	105795.0	40131.0	66129.0	59005.0	48486.0	54751.0	61759.0	74316.0	61270.0	67700.0	56991.0	53235.0	91391.0	76633.0	57282.0	43091.0	47377.0	51777.0	45862.0	29864.0	32620.0	57831.0	50269.0	29508.0	661.0	230.0	294.0	449.0	135.0	180.0
Genetic Information Processing;Folding, Sorting and Degradation	1043795.0	910904.0	976511.0	924126.0	808979.0	785338.0	845983.0	733875.0	973782.0	903630.0	708496.0	885029.0	951221.0	925439.0	703877.0	739416.0	662017.0	963331.0	955775.0	1187850.0	493244.0	781201.0	909010.0	1178224.0	1121439.0	1205488.0	874429.0	527947.0	650001.0	914261.0	946779.0	863329.0	782923.0	1166174.0	927493.0	932786.0	1077596.0	663769.0	923822.0	931292.0	1206967.0	26452.0	731224.0	993796.0	907715.0	1285839.0	621217.0	641149.0	741322.0	88225.0	845638.0	722921.0	842609.0	1230476.0	1043342.0	543574.0	841313.0	1238626.0	931779.0	1014622.0	1101056.0	1230786.0	922684.0	1039265.0	1207305.0	1059517.0	1093281.0	938893.0	1122766.0	881284.0	1094879.0	996712.0	808436.0	936859.0	1131155.0	1154813.0	897103.0	896687.0	837055.0	904712.0	1260145.0	1089655.0	690301.0	577866.0	615769.0	956968.0	818858.0	644790.0	629573.0	830030.0	831044.0	554384.0	9212.0	2752.0	2436.0	4696.0	1840.0	2429.0
Genetic Information Processing;Replication and Repair	2877404.0	2469665.0	2655890.0	2524927.0	2242752.0	2154768.0	2339258.0	2015624.0	2653622.0	2476968.0	1947119.0	2438222.0	2612654.0	2531228.0	1939299.0	2030939.0	1812838.0	2614226.0	2605337.0	3251661.0	1397326.0	2183145.0	2529301.0	3252670.0	3102851.0	3393780.0	2498864.0	1492984.0	1813365.0	2534324.0	2616998.0	2381149.0	2178702.0	3164976.0	2589639.0	2572513.0	2970017.0	1816597.0	2512017.0	2611683.0	3424865.0	75780.0	2134633.0	2809322.0	2777694.0	3924113.0	1801477.0	1794458.0	2040830.0	257395.0	2352174.0	1993868.0	2383824.0	3285872.0	2916173.0	1515473.0	2288050.0	3484348.0	2639563.0	2806216.0	3105311.0	3335066.0	2641348.0	3131127.0	3769312.0	3358671.0	3648547.0	2910417.0	3501141.0	2481126.0	3018909.0	2794255.0	2239563.0	2642090.0	3173392.0	3227376.0	2531394.0	2510750.0	2371437.0	2495908.0	3518363.0	3037273.0	1923514.0	1645538.0	1765448.0	2611515.0	2256015.0	1835458.0	1816957.0	2348287.0	2292775.0	1513011.0	27033.0	8502.0	7643.0	15079.0	5377.0	7361.0
Genetic Information Processing;Transcription	851148.0	774706.0	785255.0	894293.0	684612.0	701559.0	713409.0	606757.0	800177.0	763051.0	598484.0	720876.0	798439.0	768323.0	578121.0	616084.0	548651.0	796343.0	793506.0	976882.0	457087.0	652719.0	747465.0	1044307.0	957119.0	1020025.0	936995.0	501791.0	541729.0	755829.0	767198.0	783498.0	658379.0	952450.0	777907.0	758022.0	875840.0	553709.0	851222.0	962678.0	1231445.0	28051.0	727001.0	1004726.0	1155904.0	1624825.0	692160.0	534469.0	599743.0	91119.0	705266.0	598763.0	771509.0	966680.0	882150.0	538406.0	791262.0	1149692.0	979350.0	842481.0	1081772.0	1003726.0	796560.0	1190313.0	1299967.0	1115790.0	1209273.0	1035694.0	1309645.0	928044.0	1046579.0	986420.0	776018.0	842008.0	1145572.0	1087864.0	829034.0	1020635.0	794225.0	866839.0	1476854.0	1025731.0	699813.0	540218.0	574473.0	780519.0	678566.0	693537.0	695999.0	1106279.0	740585.0	453350.0	11030.0	2625.0	2451.0	4428.0	1951.0	2107.0
