# Constructed from biom file
#OTU ID	ERR2233229	ERR2233255	ERR2233253	ERR2233254	ERR2233231	ERR2233239	ERR2233233	ERR2233235	ERR2233236	ERR2233240	ERR2233238	ERR2233271	ERR2233241	ERR2233248	ERR2233243	ERR2233245	ERR2233246	ERR2233249	ERR2233250	ERR2233251	ERR2233259	ERR2233264	ERR2233265	ERR2233268	ERR2233277	ERR2233278	ERR2233287	ERR2233317	ERR2233261	ERR2233270	ERR2233266	ERR2233234	ERR2233247	ERR2233257	ERR2233262	ERR2233269	ERR2233267	ERR2233237	ERR2233256	ERR2233286	ERR2233292	ERR2233294	ERR2233310	ERR2233293	ERR2233299	ERR2233301	ERR2233303	ERR2233260	ERR2233279	ERR2233302	ERR2233263	ERR2233244	ERR2233304	ERR2233273	ERR2233276	ERR2233318	ERR2233258	ERR2233312	ERR2233307	ERR2233272	ERR2233309	ERR2233274	ERR2233275	ERR2233280	ERR2233281	ERR2233282	ERR2233283	ERR2233284	ERR2233285	ERR2233289	ERR2233297	ERR2233295	ERR2233296	ERR2233313	ERR2233300	ERR2233314	ERR2233305	ERR2233311	ERR2233306	ERR2233308	ERR2233315	ERR2233316	ERR2233319	ERR2233320	ERR2233321	ERR2233230	ERR2233242	ERR2233288	ERR2233290	ERR2233291	ERR2233232	ERR2233252	ERR2233298	ERR2233322	ERR2233324	ERR2233323	ERR2233326	ERR2233325
Cellular Processes;Cell Communication;Adherens junction	1.0	12.0	2.0	3.0	4.0	10.0	3.0	3.0	8.0	7.0	4.0	4.0	6.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	3.0	2.0	3.0	5.0	3.0	0.0	1.0	4.0	5.0	5.0	2.0	3.0	6.0	10.0	4.0	4.0	3.0	4.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	2.0	0.0	3.0	3.0	0.0	5.0	6.0	0.0	3.0	1.0	0.0	2.0	0.0	6.0	6.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	3.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular Processes;Cell Communication;Focal adhesion	370.0	806.0	369.0	262.0	310.0	265.0	315.0	269.0	294.0	342.0	287.0	404.0	369.0	214.0	244.0	227.0	207.0	209.0	205.0	586.0	386.0	361.0	402.0	885.0	822.0	1479.0	179.0	540.0	248.0	456.0	454.0	286.0	244.0	270.0	350.0	353.0	463.0	219.0	195.0	195.0	279.0	16.0	152.0	167.0	40.0	121.0	36.0	209.0	504.0	0.0	361.0	230.0	167.0	466.0	1147.0	678.0	148.0	249.0	142.0	727.0	191.0	904.0	567.0	351.0	394.0	250.0	228.0	215.0	228.0	7.0	156.0	359.0	94.0	151.0	60.0	166.0	187.0	173.0	170.0	120.0	97.0	1120.0	1304.0	651.0	877.0	339.0	289.0	15.0	7.0	11.0	309.0	163.0	0.0	0.0	0.0	1.0	0.0	0.0
Cellular Processes;Cell Communication;Tight junction	1.0	12.0	2.0	3.0	4.0	10.0	3.0	3.0	8.0	7.0	4.0	4.0	6.0	4.0	5.0	5.0	4.0	3.0	3.0	5.0	5.0	3.0	2.0	3.0	5.0	3.0	0.0	1.0	4.0	5.0	5.0	2.0	3.0	6.0	10.0	4.0	4.0	3.0	4.0	0.0	2.0	0.0	0.0	3.0	0.0	2.0	0.0	2.0	2.0	0.0	3.0	3.0	0.0	5.0	6.0	0.0	3.0	1.0	0.0	2.0	0.0	6.0	6.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	2.0	3.0	3.0	0.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular Processes;Cell Growth and Death;Apoptosis	2322.0	1973.0	3631.0	1526.0	2449.0	1500.0	2170.0	1396.0	1389.0	1944.0	1905.0	1594.0	2686.0	1006.0	1490.0	1207.0	1197.0	1272.0	1163.0	2992.0	2629.0	1464.0	1592.0	3616.0	7665.0	4408.0	1045.0	3201.0	939.0	1765.0	2250.0	1455.0	1356.0	1781.0	3408.0	1199.0	2256.0	1150.0	1216.0	1323.0	1801.0	104.0	1840.0	1897.0	859.0	2239.0	1488.0	1489.0	3185.0	851.0	1523.0	1655.0	1383.0	2043.0	4372.0	3620.0	1056.0	1516.0	907.0	2669.0	3974.0	1889.0	7626.0	19663.0	29880.0	15783.0	15527.0	14532.0	15823.0	4147.0	1206.0	1316.0	906.0	5603.0	5938.0	1836.0	1475.0	630.0	965.0	1697.0	3044.0	6126.0	4668.0	1364.0	1287.0	1317.0	1974.0	2827.0	3287.0	1943.0	2078.0	750.0	42.0	21.0	10.0	28.0	8.0	3.0
Cellular Processes;Cell Growth and Death;Cell cycle	179.0	664.0	231.0	191.0	37.0	130.0	68.0	95.0	290.0	154.0	116.0	119.0	73.0	232.0	92.0	139.0	182.0	267.0	219.0	350.0	9.0	257.0	324.0	119.0	20.0	22.0	300.0	2.0	233.0	138.0	99.0	137.0	109.0	478.0	106.0	130.0	143.0	151.0	330.0	310.0	501.0	16.0	34.0	308.0	70.0	318.0	191.0	170.0	16.0	5.0	266.0	85.0	58.0	24.0	20.0	4.0	324.0	146.0	46.0	44.0	76.0	35.0	25.0	334.0	377.0	193.0	177.0	261.0	226.0	832.0	257.0	564.0	136.0	68.0	276.0	222.0	82.0	65.0	59.0	52.0	99.0	19.0	4.0	29.0	55.0	306.0	100.0	657.0	755.0	635.0	79.0	204.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular Processes;Cell Growth and Death;Cell cycle - Caulobacter	202447.0	170638.0	185108.0	160404.0	152012.0	142153.0	159308.0	139011.0	184629.0	168415.0	133119.0	168172.0	178651.0	174848.0	134012.0	139716.0	125807.0	183511.0	180905.0	227283.0	94708.0	151394.0	175174.0	222127.0	213389.0	229131.0	159840.0	101594.0	125753.0	173445.0	179848.0	155279.0	147928.0	221013.0	175674.0	176265.0	204258.0	125998.0	163591.0	169873.0	226027.0	5000.0	137671.0	186465.0	168359.0	241278.0	115435.0	122649.0	140288.0	15325.0	162502.0	136825.0	154606.0	228635.0	199319.0	97322.0	147682.0	232409.0	159537.0	195075.0	200075.0	230500.0	184693.0	204548.0	270113.0	240947.0	237036.0	203098.0	234140.0	152067.0	199028.0	183733.0	147768.0	166284.0	199306.0	215447.0	165522.0	145817.0	154931.0	155984.0	194412.0	207818.0	125234.0	107488.0	117068.0	181690.0	155155.0	112637.0	109956.0	118533.0	152015.0	105689.0	1693.0	555.0	438.0	890.0	311.0	439.0
Cellular Processes;Cell Growth and Death;Cell cycle - yeast	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular Processes;Cell Growth and Death;Meiosis - yeast	18010.0	16274.0	16776.0	13459.0	13448.0	11999.0	13976.0	12740.0	17435.0	15080.0	11647.0	20544.0	16104.0	16434.0	12619.0	13525.0	11720.0	17651.0	16921.0	21121.0	8687.0	16143.0	19083.0	22958.0	21630.0	22011.0	14163.0	8123.0	13648.0	19743.0	20802.0	13328.0	13209.0	20350.0	20880.0	21603.0	23618.0	11854.0	13739.0	16255.0	20872.0	399.0	9187.0	17232.0	11081.0	14368.0	8613.0	13062.0	15535.0	559.0	18104.0	12200.0	10839.0	34174.0	19643.0	8148.0	12373.0	18484.0	10157.0	21784.0	12008.0	30312.0	14242.0	12305.0	13923.0	10284.0	8009.0	20625.0	16120.0	6502.0	19936.0	16774.0	14713.0	9620.0	14467.0	17318.0	12262.0	9052.0	11869.0	8445.0	9630.0	17421.0	11447.0	9271.0	10836.0	17390.0	14045.0	4921.0	5694.0	3569.0	12777.0	9776.0	95.0	24.0	22.0	32.0	32.0	22.0
Cellular Processes;Cell Growth and Death;Oocyte meiosis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellular Processes;Cell Growth and Death;p53 signaling pathway	3768.0	3113.0	4922.0	2457.0	3807.0	2469.0	3529.0	2345.0	2434.0	3143.0	2930.0	2808.0	4100.0	1830.0	2483.0	2163.0	1957.0	2013.0	1997.0	4589.0	3264.0	2384.0	2740.0	5334.0	9174.0	6767.0	1182.0	4148.0	1559.0	3134.0	3763.0	2639.0	2745.0	2836.0	4692.0	2506.0	3804.0	1917.0	2032.0	1430.0	2124.0	97.0	2120.0	2123.0	953.0	1884.0	1232.0	2283.0	4189.0	462.0	2487.0	2724.0	3034.0	2776.0	6136.0	4565.0	1715.0	2502.0	1914.0	3936.0	5196.0	2942.0	7979.0	18349.0	27605.0	13624.0	8761.0	12890.0	13302.0	2249.0	1445.0	1683.0	1084.0	4343.0	3487.0	2306.0	2834.0	1206.0	1738.0	2538.0	2779.0	7922.0	6429.0	2451.0	2490.0	2359.0	3015.0	1545.0	1778.0	1116.0	3228.0	1337.0	37.0	17.0	14.0	17.0	8.0	4.0
