Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	324.0510069943707	124.4037753976768	242.94403800179728	85.01317245980191	1.77123776819	1.0
Oregon Continental Shelf	Damariscotta River, Maine	380.27834413790475	47.52246990026015	580.982502502689	0.0	3.88491957754	1.0
Lewes, Delaware	Gulf of Mexico	439.76605500250287	75.2898759449622	242.94403800179728	85.01317245980191	5.54428118566	0.028
Back River, Maine	Damariscotta River, Maine	672.7000720542088	48.46683593865578	580.982502502689	0.0	-1.59935123964	1.0
Back River, Maine	Gulf of Mexico	672.7000720542088	48.46683593865578	242.94403800179728	85.01317245980191	11.3976780517	0.028
Back River, Maine	Netherlands	672.7000720542088	48.46683593865578	324.0510069943707	124.4037753976768	5.83921780489	0.028
Back River, Maine	Lewes, Delaware	672.7000720542088	48.46683593865578	439.76605500250287	75.2898759449622	6.12816954742	0.028
Oregon Continental Shelf	Kennebec River, Maine	380.27834413790475	47.52246990026015	671.8984804643998	36.569255861092564	-16.1295551843	0.028
Kennebec River, Maine	Gulf of Mexico	671.8984804643998	36.569255861092564	242.94403800179728	85.01317245980191	16.1106764542	0.028
Sheepscot River, Maine	Lewes, Delaware	681.6514222797322	26.9916960977866	439.76605500250287	75.2898759449622	12.9464087296	0.028
Lewes, Delaware	Damariscotta River, Maine	439.76605500250287	75.2898759449622	580.982502502689	0.0	1.6541560045	1.0
Netherlands	Lewes, Delaware	324.0510069943707	124.4037753976768	439.76605500250287	75.2898759449622	-1.99651746268	1.0
Netherlands	Sheepscot River, Maine	324.0510069943707	124.4037753976768	681.6514222797322	26.9916960977866	-12.4803045898	0.028
Back River, Maine	Kennebec River, Maine	672.7000720542088	48.46683593865578	671.8984804643998	36.569255861092564	0.036936658549	1.0
Sheepscot River, Maine	Kennebec River, Maine	681.6514222797322	26.9916960977866	671.8984804643998	36.569255861092564	0.878383368821	1.0
Oregon Continental Shelf	Gulf of Mexico	380.27834413790475	47.52246990026015	242.94403800179728	85.01317245980191	4.99610104326	0.028
Kennebec River, Maine	Damariscotta River, Maine	671.8984804643998	36.569255861092564	580.982502502689	0.0	-2.28690833867	1.0
Back River, Maine	Oregon Continental Shelf	672.7000720542088	48.46683593865578	380.27834413790475	47.52246990026015	11.5259912374	0.028
Netherlands	Kennebec River, Maine	324.0510069943707	124.4037753976768	671.8984804643998	36.569255861092564	-8.43245224575	0.028
Kennebec River, Maine	Lewes, Delaware	671.8984804643998	36.569255861092564	439.76605500250287	75.2898759449622	8.70806698068	0.028
Netherlands	Oregon Continental Shelf	324.0510069943707	124.4037753976768	380.27834413790475	47.52246990026015	-1.29873976779	1.0
Sheepscot River, Maine	Oregon Continental Shelf	681.6514222797322	26.9916960977866	380.27834413790475	47.52246990026015	23.5391255015	0.028
Sheepscot River, Maine	Damariscotta River, Maine	681.6514222797322	26.9916960977866	580.982502502689	0.0	-3.57733116982	1.0
Netherlands	Damariscotta River, Maine	324.0510069943707	124.4037753976768	580.982502502689	0.0	1.74549965151	1.0
Back River, Maine	Sheepscot River, Maine	672.7000720542088	48.46683593865578	681.6514222797322	26.9916960977866	-0.583963815926	1.0
Sheepscot River, Maine	Gulf of Mexico	681.6514222797322	26.9916960977866	242.94403800179728	85.01317245980191	23.4015443434	0.028
Oregon Continental Shelf	Lewes, Delaware	380.27834413790475	47.52246990026015	439.76605500250287	75.2898759449622	-2.05431716947	1.0
Damariscotta River, Maine	Gulf of Mexico	580.982502502689	0.0	242.94403800179728	85.01317245980191	3.7912598754	0.924
