Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	8357.644345572744	4132.541089026582	6185.9426602425465	2978.4416135232477	1.38039844445	1.0
Oregon Continental Shelf	Damariscotta River, Maine	11557.15605852099	1703.507348573389	12915.23705410361	0.0	0.733341608825	1.0
Lewes, Delaware	Gulf of Mexico	11380.837754022312	3393.555259605588	6185.9426602425465	2978.4416135232477	3.89369241289	0.028
Back River, Maine	Damariscotta River, Maine	20478.326291167603	1977.7480852919296	12915.23705410361	0.0	-3.23194702861	1.0
Back River, Maine	Gulf of Mexico	20478.326291167603	1977.7480852919296	6185.9426602425465	2978.4416135232477	10.6589472328	0.028
Back River, Maine	Netherlands	20478.326291167603	1977.7480852919296	8357.644345572744	4132.541089026582	5.91578276378	0.168
Back River, Maine	Lewes, Delaware	20478.326291167603	1977.7480852919296	11380.837754022312	3393.555259605588	5.4274063038	0.056
Oregon Continental Shelf	Kennebec River, Maine	11557.15605852099	1703.507348573389	19557.060158413173	2066.078690934025	-9.90838370701	0.028
Kennebec River, Maine	Gulf of Mexico	19557.060158413173	2066.078690934025	6185.9426602425465	2978.4416135232477	13.3488537579	0.028
Sheepscot River, Maine	Lewes, Delaware	21592.256551400405	1704.7773272636864	11380.837754022312	3393.555259605588	10.7677654556	0.028
Lewes, Delaware	Damariscotta River, Maine	11380.837754022312	3393.555259605588	12915.23705410361	0.0	0.398759673295	1.0
Netherlands	Lewes, Delaware	8357.644345572744	4132.541089026582	11380.837754022312	3393.555259605588	-1.39009652879	1.0
Netherlands	Sheepscot River, Maine	8357.644345572744	4132.541089026582	21592.256551400405	1704.7773272636864	-11.6915447353	0.028
Back River, Maine	Kennebec River, Maine	20478.326291167603	1977.7480852919296	19557.060158413173	2066.078690934025	0.852775774119	1.0
Sheepscot River, Maine	Kennebec River, Maine	21592.256551400405	1704.7773272636864	19557.060158413173	2066.078690934025	3.05171354896	0.196
Oregon Continental Shelf	Gulf of Mexico	11557.15605852099	1703.507348573389	6185.9426602425465	2978.4416135232477	5.55758138003	0.028
Kennebec River, Maine	Damariscotta River, Maine	19557.060158413173	2066.078690934025	12915.23705410361	0.0	-2.95709388028	1.0
Back River, Maine	Oregon Continental Shelf	20478.326291167603	1977.7480852919296	11557.15605852099	1703.507348573389	9.34774148582	0.028
Netherlands	Kennebec River, Maine	8357.644345572744	4132.541089026582	19557.060158413173	2066.078690934025	-7.22703840511	0.028
Kennebec River, Maine	Lewes, Delaware	19557.060158413173	2066.078690934025	11380.837754022312	3393.555259605588	6.34753044651	0.056
Netherlands	Oregon Continental Shelf	8357.644345572744	4132.541089026582	11557.15605852099	1703.507348573389	-2.18450606196	1.0
Sheepscot River, Maine	Oregon Continental Shelf	21592.256551400405	1704.7773272636864	11557.15605852099	1703.507348573389	16.1843438308	0.028
Sheepscot River, Maine	Damariscotta River, Maine	21592.256551400405	1704.7773272636864	12915.23705410361	0.0	-4.88198933292	0.112
Netherlands	Damariscotta River, Maine	8357.644345572744	4132.541089026582	12915.23705410361	0.0	0.932082412722	1.0
Back River, Maine	Sheepscot River, Maine	20478.326291167603	1977.7480852919296	21592.256551400405	1704.7773272636864	-1.33753363321	1.0
Sheepscot River, Maine	Gulf of Mexico	21592.256551400405	1704.7773272636864	6185.9426602425465	2978.4416135232477	21.1292881211	0.028
Oregon Continental Shelf	Lewes, Delaware	11557.15605852099	1703.507348573389	11380.837754022312	3393.555259605588	0.145456392522	1.0
Damariscotta River, Maine	Gulf of Mexico	12915.23705410361	0.0	6185.9426602425465	2978.4416135232477	2.15419044222	0.672
