Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	4397.400000000001	1869.692414988804	3092.7619047619055	1273.6628642941923	1.89941588908	1.0
Oregon Continental Shelf	Damariscotta River, Maine	5108.341666666667	801.2670002963362	7776.6	0.0	3.06319951048	1.0
Lewes, Delaware	Gulf of Mexico	5772.0125	1236.3881747225464	3092.7619047619055	1273.6628642941923	4.92470296852	0.028
Back River, Maine	Damariscotta River, Maine	8806.366666666667	759.3582041581049	7776.6	0.0	-1.14611480451	1.0
Back River, Maine	Gulf of Mexico	8806.366666666667	759.3582041581049	3092.7619047619055	1273.6628642941923	10.0743183139	0.056
Back River, Maine	Netherlands	8806.366666666667	759.3582041581049	4397.400000000001	1869.692414988804	4.88537557872	0.168
Back River, Maine	Lewes, Delaware	8806.366666666667	759.3582041581049	5772.0125	1236.3881747225464	4.91378251718	0.028
Oregon Continental Shelf	Kennebec River, Maine	5108.341666666667	801.2670002963362	8840.708333333334	451.4117419428618	-13.4600431913	0.028
Kennebec River, Maine	Gulf of Mexico	8840.708333333334	451.4117419428618	3092.7619047619055	1273.6628642941923	14.6359211431	0.028
Sheepscot River, Maine	Lewes, Delaware	9283.254166666666	408.2737837317489	5772.0125	1236.3881747225464	11.6934084951	0.028
Lewes, Delaware	Damariscotta River, Maine	5772.0125	1236.3881747225464	7776.6	0.0	1.42987456386	1.0
Netherlands	Lewes, Delaware	4397.400000000001	1869.692414988804	5772.0125	1236.3881747225464	-1.53014991888	1.0
Netherlands	Sheepscot River, Maine	4397.400000000001	1869.692414988804	9283.254166666666	408.2737837317489	-11.3341094925	0.028
Back River, Maine	Kennebec River, Maine	8806.366666666667	759.3582041581049	8840.708333333334	451.4117419428618	-0.113057835915	1.0
Sheepscot River, Maine	Kennebec River, Maine	9283.254166666666	408.2737837317489	8840.708333333334	451.4117419428618	2.87478450483	0.196
Oregon Continental Shelf	Gulf of Mexico	5108.341666666667	801.2670002963362	3092.7619047619055	1273.6628642941923	4.79829777516	0.028
Kennebec River, Maine	Damariscotta River, Maine	8840.708333333334	451.4117419428618	7776.6	0.0	-2.16839131493	1.0
Back River, Maine	Oregon Continental Shelf	8806.366666666667	759.3582041581049	5108.341666666667	801.2670002963362	8.85417433553	0.028
Netherlands	Kennebec River, Maine	4397.400000000001	1869.692414988804	8840.708333333334	451.4117419428618	-7.34522550871	0.028
Kennebec River, Maine	Lewes, Delaware	8840.708333333334	451.4117419428618	5772.0125	1236.3881747225464	7.44609914838	0.028
Netherlands	Oregon Continental Shelf	4397.400000000001	1869.692414988804	5108.341666666667	801.2670002963362	-1.06204552647	1.0
Sheepscot River, Maine	Oregon Continental Shelf	9283.254166666666	408.2737837317489	5108.341666666667	801.2670002963362	20.1256071782	0.028
Sheepscot River, Maine	Damariscotta River, Maine	9283.254166666666	408.2737837317489	7776.6	0.0	-3.53961475615	1.0
Netherlands	Damariscotta River, Maine	4397.400000000001	1869.692414988804	7776.6	0.0	1.52749470163	1.0
Back River, Maine	Sheepscot River, Maine	8806.366666666667	759.3582041581049	9283.254166666666	408.2737837317489	-2.02413239484	1.0
Sheepscot River, Maine	Gulf of Mexico	9283.254166666666	408.2737837317489	3092.7619047619055	1273.6628642941923	22.0188059658	0.028
Oregon Continental Shelf	Lewes, Delaware	5108.341666666667	801.2670002963362	5772.0125	1236.3881747225464	-1.38170976544	1.0
Damariscotta River, Maine	Gulf of Mexico	7776.6	0.0	3092.7619047619055	1273.6628642941923	3.50631593579	1.0
