# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within TreatmentGroup	All between TreatmentGroup	-50.3387836526	0.0	0.0	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Back River, Maine	-0.443866005555	0.6572788235516758	1	N/A	N/A
All within TreatmentGroup	Netherlands vs. Netherlands	-3.84394642404	0.00013227226680990003	0.08809332969539342	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Sheepscot River, Maine	4.15526342846	3.5421373166144576e-05	0.023590634528652288	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Oregon Continental Shelf	3.57313761104	0.00037558835605988605	0.2501418451358841	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Kennebec River, Maine	-0.111064071308	0.9115956551176325	1	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Lewes, Delaware	2.61653367514	0.009073851220802176	1	N/A	N/A
All within TreatmentGroup	Gulf of Mexico vs. Gulf of Mexico	-5.06834806401	4.887515778948533e-07	0.0003255085508779723	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Netherlands	-17.3903278603	1.0721043539715883e-56	7.140214997450778e-54	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Sheepscot River, Maine	-2.79448566187	0.005319860751712295	1	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Oregon Continental Shelf	-24.6867129179	8.029089978810091e-99	5.347373925887521e-96	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Kennebec River, Maine	-8.64776048299	3.193609221441091e-17	2.1269437414797665e-14	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Lewes, Delaware	-13.3425173973	1.8553512698929682e-36	1.2356639457487167e-33	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Damariscotta River, Maine	-3.92777799893	9.448409146874447e-05	0.06292640491818381	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Gulf of Mexico	-41.7198019558	6.274562814342283e-203	4.1788588343519604e-200	N/A	N/A
All within TreatmentGroup	Netherlands vs. Sheepscot River, Maine	-30.1111951309	1.220323946358936e-134	8.127357482750513e-132	N/A	N/A
All within TreatmentGroup	Netherlands vs. Oregon Continental Shelf	-21.7146036013	2.0843015408353093e-81	1.388144826196316e-78	N/A	N/A
All within TreatmentGroup	Netherlands vs. Kennebec River, Maine	-22.8989297006	2.6516029605801063e-88	1.7659675717463507e-85	N/A	N/A
All within TreatmentGroup	Netherlands vs. Lewes, Delaware	-15.9424210367	3.004399886877154e-49	2.0009303246601844e-46	N/A	N/A
All within TreatmentGroup	Netherlands vs. Damariscotta River, Maine	-6.38629493053	3.149705713506731e-10	2.0977040051954828e-07	N/A	N/A
All within TreatmentGroup	Netherlands vs. Gulf of Mexico	-38.160632617	2.675389230237843e-182	1.7818092273384034e-179	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Oregon Continental Shelf	-48.2135515771	6.928280932110952e-259	4.614235100785894e-256	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Kennebec River, Maine	-9.00752193417	1.109042504376081e-18	7.386223079144699e-16	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Lewes, Delaware	-22.030650981	9.49187621409863e-86	6.3215895585896875e-83	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Damariscotta River, Maine	-6.56966675406	9.860853583757404e-11	6.567328486782432e-08	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Gulf of Mexico	-77.8958133707	0.0	0.0	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Kennebec River, Maine	-37.9302441358	1.9405178778751034e-182	1.2923849066648188e-179	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Lewes, Delaware	-31.1200593368	2.635429375204859e-138	1.7551959638864362e-135	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Damariscotta River, Maine	-11.8548287568	1.2692180737166668e-29	8.452992370953e-27	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Gulf of Mexico	-32.0072662967	5.818673676907691e-152	3.875236668820522e-149	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Lewes, Delaware	-13.1536658254	8.567822923230654e-36	5.7061700668716156e-33	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Damariscotta River, Maine	-4.99805031681	7.35958507742566e-07	0.0004901483661565489	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Gulf of Mexico	-61.0715159439	0.0	0.0	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Damariscotta River, Maine	-3.69613673027	0.00023647486279750827	0.1574922586231405	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Gulf of Mexico	-45.6093276348	1.010607998344351e-229	6.730649268973378e-227	N/A	N/A
All within TreatmentGroup	Damariscotta River, Maine vs. Gulf of Mexico	-19.7997507597	1.5737098102293404e-69	1.0480907336127407e-66	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Back River, Maine	7.58577653005	4.263256414560601e-14	2.8393287720973603e-11	N/A	N/A
All between TreatmentGroup	Netherlands vs. Netherlands	4.93416409427	8.442724077628583e-07	0.0005622854235700636	N/A	N/A
All between TreatmentGroup	Sheepscot River, Maine vs. Sheepscot River, Maine	37.1447867848	0.0	0.0	N/A	N/A
All between TreatmentGroup	Oregon Continental Shelf vs. Oregon Continental Shelf	19.3579610561	0.0	0.0	N/A	N/A
All between TreatmentGroup	Kennebec River, Maine vs. Kennebec River, Maine	16.5170599432	0.0	0.0	N/A	N/A
All between TreatmentGroup	Lewes, Delaware vs. Lewes, Delaware	12.8289473737	0.0	0.0	N/A	N/A
All between TreatmentGroup	Gulf of Mexico vs. Gulf of Mexico	23.6381747775	0.0	0.0	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Netherlands	-1.21670842953	0.2238005520061698	1	N/A	N/A
