# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within TreatmentGroup	All between TreatmentGroup	-32.9419398383	8.458700614731031e-211	5.633494609410866e-208	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Back River, Maine	1.48804745307	0.13719589609256722	1	N/A	N/A
All within TreatmentGroup	Netherlands vs. Netherlands	-0.317680006105	0.7508239303025357	1	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Sheepscot River, Maine	10.8545854422	0.0	0.0	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Oregon Continental Shelf	-2.15224133801	0.03170111340380704	1	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Kennebec River, Maine	3.5100143972	0.00047520670383383035	0.316487664753331	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Lewes, Delaware	0.403366163307	0.6868017015904697	1	N/A	N/A
All within TreatmentGroup	Gulf of Mexico vs. Gulf of Mexico	-11.5376459569	8.727076153002894e-29	5.812232717899928e-26	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Netherlands	-6.39358099541	2.936235640540115e-10	1.9555329365997166e-07	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Sheepscot River, Maine	3.27418065685	0.0011042148588138456	0.7354070959700212	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Oregon Continental Shelf	-8.89509403075	4.359044092511573e-18	2.9031233656127078e-15	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Kennebec River, Maine	-2.16453783412	0.030739627103832146	1	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Lewes, Delaware	-6.61688896951	7.149136143931788e-11	4.7613246718585705e-08	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Damariscotta River, Maine	-1.45382226933	0.1464569495533485	1	N/A	N/A
All within TreatmentGroup	Back River, Maine vs. Gulf of Mexico	-23.1730086334	2.7069859530841494e-91	1.8028526447540435e-88	N/A	N/A
All within TreatmentGroup	Netherlands vs. Sheepscot River, Maine	-8.89862649173	3.585021166201931e-18	2.3876240966904863e-15	N/A	N/A
All within TreatmentGroup	Netherlands vs. Oregon Continental Shelf	-11.2593304737	2.8608585551974666e-27	1.9053317977615127e-24	N/A	N/A
All within TreatmentGroup	Netherlands vs. Kennebec River, Maine	-7.95719970516	6.538064441573318e-15	4.35435091808783e-12	N/A	N/A
All within TreatmentGroup	Netherlands vs. Lewes, Delaware	-7.16385727276	1.938914368642797e-12	1.2913169695161028e-09	N/A	N/A
All within TreatmentGroup	Netherlands vs. Damariscotta River, Maine	-2.20652611185	0.027680671330889053	1	N/A	N/A
All within TreatmentGroup	Netherlands vs. Gulf of Mexico	-26.6609424611	1.465251515190034e-112	9.758575091165627e-110	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Oregon Continental Shelf	-18.3155988374	1.6274316005733394e-64	1.0838694459818441e-61	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Kennebec River, Maine	2.17164278079	0.030126369882369053	1	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Lewes, Delaware	-8.11484033929	1.6611084913427927e-15	1.1062982552343e-12	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Damariscotta River, Maine	-1.94067168996	0.052700402865300165	1	N/A	N/A
All within TreatmentGroup	Sheepscot River, Maine vs. Gulf of Mexico	-45.9684047027	4.502049497462127e-265	2.9983649653097765e-262	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Kennebec River, Maine	-16.7369929192	2.6900329271794083e-54	1.7915619295014858e-51	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Lewes, Delaware	-16.9586243107	4.740275197824429e-55	3.15702328175107e-52	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Damariscotta River, Maine	-5.57039305011	3.652059191620882e-08	2.4322714216195075e-05	N/A	N/A
All within TreatmentGroup	Oregon Continental Shelf vs. Gulf of Mexico	-25.6858872236	2.7455047766070406e-110	1.828506181220289e-107	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Lewes, Delaware	-3.26144098324	0.0011572724161827593	0.7707434291777177	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Damariscotta River, Maine	-1.09660422425	0.2731992397399737	1	N/A	N/A
All within TreatmentGroup	Kennebec River, Maine vs. Gulf of Mexico	-37.3464899198	6.065070342490888e-187	4.039336848098932e-184	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Damariscotta River, Maine	-0.868193377354	0.3855938743152628	1	N/A	N/A
All within TreatmentGroup	Lewes, Delaware vs. Gulf of Mexico	-32.5438265352	4.5816337951985606e-151	3.0513681076022414e-148	N/A	N/A
All within TreatmentGroup	Damariscotta River, Maine vs. Gulf of Mexico	-11.1667847771	9.581878291619274e-27	6.381530942218437e-24	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Back River, Maine	6.95941804482	4.094502514817577e-12	2.7269386748685065e-09	N/A	N/A
All between TreatmentGroup	Netherlands vs. Netherlands	5.08206118051	3.938546393467135e-07	0.0002623071898049112	N/A	N/A
All between TreatmentGroup	Sheepscot River, Maine vs. Sheepscot River, Maine	34.5292455143	0.0	0.0	N/A	N/A
All between TreatmentGroup	Oregon Continental Shelf vs. Oregon Continental Shelf	9.06898366261	0.0	0.0	N/A	N/A
All between TreatmentGroup	Kennebec River, Maine vs. Kennebec River, Maine	15.0034076819	0.0	0.0	N/A	N/A
All between TreatmentGroup	Lewes, Delaware vs. Lewes, Delaware	7.81216442476	7.327471962526033e-15	4.880096327042338e-12	N/A	N/A
All between TreatmentGroup	Gulf of Mexico vs. Gulf of Mexico	5.68843399348	1.3861813696891545e-08	9.231967922129769e-06	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Netherlands	1.7307811009	0.08358253949196803	1	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Sheepscot River, Maine	20.1690687715	0.0	0.0	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Oregon Continental Shelf	2.5564339625	0.01061821520986217	1	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Kennebec River, Maine	9.60005116125	0.0	0.0	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Lewes, Delaware	2.80711843409	0.005027378720594555	1	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Damariscotta River, Maine	1.91640086746	0.0553995251004038	1	N/A	N/A
All between TreatmentGroup	Back River, Maine vs. Gulf of Mexico	-8.69048677184	5.480530723511157e-18	3.650033461858431e-15	N/A	N/A
All between TreatmentGroup	Netherlands vs. Sheepscot River, Maine	7.37671562357	2.0183854587685346e-13	1.344244715539844e-10	N/A	N/A
All between TreatmentGroup	Netherlands vs. Oregon Continental Shelf	0.0657674237308	0.9475668599150195	1	N/A	N/A
