Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	324.13489415237046	124.34730932949347	243.11829397552594	85.0245370906213	1.76942229971	1.0
Oregon Continental Shelf	Damariscotta River, Maine	380.11626376768794	47.639773529049734	579.3782000097887	0.0	3.84750616367	1.0
Lewes, Delaware	Gulf of Mexico	439.5253005316902	75.16339585954726	243.11829397552594	85.0245370906213	5.53415831751	0.028
Back River, Maine	Damariscotta River, Maine	672.3271228871589	48.38143155862811	579.3782000097887	0.0	-1.62368444074	1.0
Back River, Maine	Gulf of Mexico	672.3271228871589	48.38143155862811	243.11829397552594	85.0245370906213	11.3834759231	0.028
Back River, Maine	Netherlands	672.3271228871589	48.38143155862811	324.13489415237046	124.34730932949347	5.8352206365	0.028
Back River, Maine	Lewes, Delaware	672.3271228871589	48.38143155862811	439.5253005316902	75.16339585954726	6.13511771131	0.056
Oregon Continental Shelf	Kennebec River, Maine	380.11626376768794	47.639773529049734	672.288226096508	36.30098818243109	-16.1789539976	0.028
Kennebec River, Maine	Gulf of Mexico	672.288226096508	36.30098818243109	243.11829397552594	85.0245370906213	16.1280947638	0.028
Sheepscot River, Maine	Lewes, Delaware	681.6410951071822	27.083287091293553	439.5253005316902	75.16339585954726	12.9621841222	0.028
Lewes, Delaware	Damariscotta River, Maine	439.5253005316902	75.16339585954726	579.3782000097887	0.0	1.64094054878	1.0
Netherlands	Lewes, Delaware	324.13489415237046	124.34730932949347	439.5253005316902	75.16339585954726	-1.9926218844	1.0
Netherlands	Sheepscot River, Maine	324.13489415237046	124.34730932949347	681.6410951071822	27.083287091293553	-12.4750612834	0.028
Back River, Maine	Kennebec River, Maine	672.3271228871589	48.38143155862811	672.288226096508	36.30098818243109	0.0018008413217	1.0
Sheepscot River, Maine	Kennebec River, Maine	681.6410951071822	27.083287091293553	672.288226096508	36.30098818243109	0.843808637401	1.0
Oregon Continental Shelf	Gulf of Mexico	380.11626376768794	47.639773529049734	243.11829397552594	85.0245370906213	4.98143569444	0.028
Kennebec River, Maine	Damariscotta River, Maine	672.288226096508	36.30098818243109	579.3782000097887	0.0	-2.3543379379	0.196
Back River, Maine	Oregon Continental Shelf	672.3271228871589	48.38143155862811	380.11626376768794	47.639773529049734	11.505909275	0.028
Netherlands	Kennebec River, Maine	324.13489415237046	124.34730932949347	672.288226096508	36.30098818243109	-8.4522494048	0.028
Kennebec River, Maine	Lewes, Delaware	672.288226096508	36.30098818243109	439.5253005316902	75.16339585954726	8.7593563811	0.028
Netherlands	Oregon Continental Shelf	324.13489415237046	124.34730932949347	380.11626376768794	47.639773529049734	-1.29279074173	1.0
Sheepscot River, Maine	Oregon Continental Shelf	681.6410951071822	27.083287091293553	380.11626376768794	47.639773529049734	23.4844888549	0.028
Sheepscot River, Maine	Damariscotta River, Maine	681.6410951071822	27.083287091293553	579.3782000097887	0.0	-3.62168457854	1.0
Netherlands	Damariscotta River, Maine	324.13489415237046	124.34730932949347	579.3782000097887	0.0	1.73481812433	1.0
Back River, Maine	Sheepscot River, Maine	672.3271228871589	48.38143155862811	681.6410951071822	27.083287091293553	-0.606955350326	1.0
Sheepscot River, Maine	Gulf of Mexico	681.6410951071822	27.083287091293553	243.11829397552594	85.0245370906213	23.3806880982	0.028
Oregon Continental Shelf	Lewes, Delaware	380.11626376768794	47.639773529049734	439.5253005316902	75.16339585954726	-2.05185915649	1.0
Damariscotta River, Maine	Gulf of Mexico	579.3782000097887	0.0	243.11829397552594	85.0245370906213	3.77080842352	1.0
