Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	8364.24595979998	4130.514298849191	6205.978520620252	2980.8985063453447	1.37136782135	1.0
Oregon Continental Shelf	Damariscotta River, Maine	11627.053972810581	1690.3152808405962	12865.718592808782	0.0	0.674078820456	1.0
Lewes, Delaware	Gulf of Mexico	11371.106951249902	3406.4904283716965	6205.978520620252	2980.8985063453447	3.8643708665	0.028
Back River, Maine	Damariscotta River, Maine	20537.192198369103	2144.017215149994	12865.718592808782	0.0	-3.02403288181	1.0
Back River, Maine	Gulf of Mexico	20537.192198369103	2144.017215149994	6205.978520620252	2980.8985063453447	10.5770644856	0.028
Back River, Maine	Netherlands	20537.192198369103	2144.017215149994	8364.24595979998	4130.514298849191	5.84886975774	0.056
Back River, Maine	Lewes, Delaware	20537.192198369103	2144.017215149994	11371.106951249902	3406.4904283716965	5.35786945616	0.028
Oregon Continental Shelf	Kennebec River, Maine	11627.053972810581	1690.3152808405962	19600.418909333406	2094.68914681484	-9.82476419043	0.028
Kennebec River, Maine	Gulf of Mexico	19600.418909333406	2094.68914681484	6205.978520620252	2980.8985063453447	13.3235369294	0.028
Sheepscot River, Maine	Lewes, Delaware	21628.27442406025	1726.412861542304	11371.106951249902	3406.4904283716965	10.7339219633	0.028
Lewes, Delaware	Damariscotta River, Maine	11371.106951249902	3406.4904283716965	12865.718592808782	0.0	0.386944744974	1.0
Netherlands	Lewes, Delaware	8364.24595979998	4130.514298849191	11371.106951249902	3406.4904283716965	-1.38044887492	1.0
Netherlands	Sheepscot River, Maine	8364.24595979998	4130.514298849191	21628.27442406025	1726.412861542304	-11.6607539972	0.028
Back River, Maine	Kennebec River, Maine	20537.192198369103	2144.017215149994	19600.418909333406	2094.68914681484	0.836655238823	1.0
Sheepscot River, Maine	Kennebec River, Maine	21628.27442406025	1726.412861542304	19600.418909333406	2094.68914681484	3.00114795472	0.224
Oregon Continental Shelf	Gulf of Mexico	11627.053972810581	1690.3152808405962	6205.978520620252	2980.8985063453447	5.61209036836	0.028
Kennebec River, Maine	Damariscotta River, Maine	19600.418909333406	2094.68914681484	12865.718592808782	0.0	-2.95749050491	1.0
Back River, Maine	Oregon Continental Shelf	20537.192198369103	2144.017215149994	11627.053972810581	1690.3152808405962	9.06244604084	0.028
Netherlands	Kennebec River, Maine	8364.24595979998	4130.514298849191	19600.418909333406	2094.68914681484	-7.21963347598	0.028
Kennebec River, Maine	Lewes, Delaware	19600.418909333406	2094.68914681484	11371.106951249902	3406.4904283716965	6.34175798516	0.028
Netherlands	Oregon Continental Shelf	8364.24595979998	4130.514298849191	11627.053972810581	1690.3152808405962	-2.23291460286	1.0
Sheepscot River, Maine	Oregon Continental Shelf	21628.27442406025	1726.412861542304	11627.053972810581	1690.3152808405962	16.0345816346	0.028
Sheepscot River, Maine	Damariscotta River, Maine	21628.27442406025	1726.412861542304	12865.718592808782	0.0	-4.86833044591	0.784
Netherlands	Damariscotta River, Maine	8364.24595979998	4130.514298849191	12865.718592808782	0.0	0.92105691279	1.0
Back River, Maine	Sheepscot River, Maine	20537.192198369103	2144.017215149994	21628.27442406025	1726.412861542304	-1.27055082219	1.0
Sheepscot River, Maine	Gulf of Mexico	21628.27442406025	1726.412861542304	6205.978520620252	2980.8985063453447	21.0654424188	0.028
Oregon Continental Shelf	Lewes, Delaware	11627.053972810581	1690.3152808405962	11371.106951249902	3406.4904283716965	0.211009022239	1.0
Damariscotta River, Maine	Gulf of Mexico	12865.718592808782	0.0	6205.978520620252	2980.8985063453447	2.13016746441	1.0
