Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	4396.55	1871.0357886742843	3092.5619047619048	1271.6273980616859	1.89982734939	1.0
Oregon Continental Shelf	Damariscotta River, Maine	5107.733333333333	802.5961773450512	7774.5	0.0	3.05641693613	0.728
Lewes, Delaware	Gulf of Mexico	5765.224999999999	1238.5039763258735	3092.5619047619048	1271.6273980616859	4.91614825398	0.028
Back River, Maine	Damariscotta River, Maine	8802.766666666666	764.1019340085164	7774.5	0.0	-1.13734033334	1.0
Back River, Maine	Gulf of Mexico	8802.766666666666	764.1019340085164	3092.5619047619048	1271.6273980616859	10.0771132101	0.028
Back River, Maine	Netherlands	8802.766666666666	764.1019340085164	4396.55	1871.0357886742843	4.87500051311	0.056
Back River, Maine	Lewes, Delaware	8802.766666666666	764.1019340085164	5765.224999999999	1238.5039763258735	4.90563400948	0.056
Oregon Continental Shelf	Kennebec River, Maine	5107.733333333333	802.5961773450512	8847.25	448.05705272877924	-13.4928941616	0.028
Kennebec River, Maine	Gulf of Mexico	8847.25	448.05705272877924	3092.5619047619048	1271.6273980616859	14.6822717737	0.028
Sheepscot River, Maine	Lewes, Delaware	9282.845833333335	407.18246624329527	5765.224999999999	1238.5039763258735	11.7072495657	0.028
Lewes, Delaware	Damariscotta River, Maine	5765.224999999999	1238.5039763258735	7774.5	0.0	1.43076972088	1.0
Netherlands	Lewes, Delaware	4396.55	1871.0357886742843	5765.224999999999	1238.5039763258735	-1.52189046109	1.0
Netherlands	Sheepscot River, Maine	4396.55	1871.0357886742843	9282.845833333335	407.18246624329527	-11.3331391843	0.028
Back River, Maine	Kennebec River, Maine	8802.766666666666	764.1019340085164	8847.25	448.05705272877924	-0.14635709406	1.0
Sheepscot River, Maine	Kennebec River, Maine	9282.845833333335	407.18246624329527	8847.25	448.05705272877924	2.84235826115	0.168
Oregon Continental Shelf	Gulf of Mexico	5107.733333333333	802.5961773450512	3092.5619047619048	1271.6273980616859	4.80211146802	0.028
Kennebec River, Maine	Damariscotta River, Maine	8847.25	448.05705272877924	7774.5	0.0	-2.20236791687	1.0
Back River, Maine	Oregon Continental Shelf	8802.766666666666	764.1019340085164	5107.733333333333	802.5961773450512	8.81982020514	0.028
Netherlands	Kennebec River, Maine	4396.55	1871.0357886742843	8847.25	448.05705272877924	-7.3583964347	0.028
Kennebec River, Maine	Lewes, Delaware	8847.25	448.05705272877924	5765.224999999999	1238.5039763258735	7.476994616	0.028
Netherlands	Oregon Continental Shelf	4396.55	1871.0357886742843	5107.733333333333	802.5961773450512	-1.06137573105	1.0
Sheepscot River, Maine	Oregon Continental Shelf	9282.845833333335	407.18246624329527	5107.733333333333	802.5961773450512	20.1229409417	0.028
Sheepscot River, Maine	Damariscotta River, Maine	9282.845833333335	407.18246624329527	7774.5	0.0	-3.55308643926	0.196
Netherlands	Damariscotta River, Maine	4396.55	1871.0357886742843	7774.5	0.0	1.525833355	1.0
Back River, Maine	Sheepscot River, Maine	8802.766666666666	764.1019340085164	9282.845833333335	407.18246624329527	-2.03468098868	1.0
Sheepscot River, Maine	Gulf of Mexico	9282.845833333335	407.18246624329527	3092.5619047619048	1271.6273980616859	22.055803006	0.028
Oregon Continental Shelf	Lewes, Delaware	5107.733333333333	802.5961773450512	5765.224999999999	1238.5039763258735	-1.36653440771	1.0
Damariscotta River, Maine	Gulf of Mexico	7774.5	0.0	3092.5619047619048	1271.6273980616859	3.51050380463	1.0
