Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Netherlands	Gulf of Mexico	9.243589060806611	0.693480673180489	7.35344328120127	1.4075573517463509	3.0607812913	0.196
Oregon Continental Shelf	Damariscotta River, Maine	9.096373184577326	1.0055379720033422	11.181958837130761	0.0	1.90789390889	1.0
Lewes, Delaware	Gulf of Mexico	10.600427150400902	0.4201596537295314	7.35344328120127	1.4075573517463509	6.19146370184	0.028
Back River, Maine	Damariscotta River, Maine	11.18149389727561	0.6288597387682928	11.181958837130761	0.0	0.000624854594036	1.0
Back River, Maine	Gulf of Mexico	11.18149389727561	0.6288597387682928	7.35344328120127	1.4075573517463509	6.23492962467	0.028
Back River, Maine	Netherlands	11.18149389727561	0.6288597387682928	9.243589060806611	0.693480673180489	4.62882984059	0.028
Back River, Maine	Lewes, Delaware	11.18149389727561	0.6288597387682928	10.600427150400902	0.4201596537295314	1.91574117379	1.0
Oregon Continental Shelf	Kennebec River, Maine	9.096373184577326	1.0055379720033422	11.61758785505158	0.20853405380271786	-8.14261146973	0.028
Kennebec River, Maine	Gulf of Mexico	11.61758785505158	0.20853405380271786	7.35344328120127	1.4075573517463509	10.1081969027	0.028
Sheepscot River, Maine	Lewes, Delaware	11.649736506147454	0.21856602312171236	10.600427150400902	0.4201596537295314	8.80082438717	0.028
Lewes, Delaware	Damariscotta River, Maine	10.600427150400902	0.4201596537295314	11.181958837130761	0.0	1.22063776546	1.0
Netherlands	Lewes, Delaware	9.243589060806611	0.693480673180489	10.600427150400902	0.4201596537295314	-4.19811064642	0.028
Netherlands	Sheepscot River, Maine	9.243589060806611	0.693480673180489	11.649736506147454	0.21856602312171236	-13.8919000972	0.028
Back River, Maine	Kennebec River, Maine	11.18149389727561	0.6288597387682928	11.61758785505158	0.20853405380271786	-2.05056676268	1.0
Sheepscot River, Maine	Kennebec River, Maine	11.649736506147454	0.21856602312171236	11.61758785505158	0.20853405380271786	0.410491727009	1.0
Oregon Continental Shelf	Gulf of Mexico	9.096373184577326	1.0055379720033422	7.35344328120127	1.4075573517463509	3.65813627619	0.028
Kennebec River, Maine	Damariscotta River, Maine	11.61758785505158	0.20853405380271786	11.181958837130761	0.0	-1.92160660004	1.0
Back River, Maine	Oregon Continental Shelf	11.18149389727561	0.6288597387682928	9.096373184577326	1.0055379720033422	4.37972006667	0.028
Netherlands	Kennebec River, Maine	9.243589060806611	0.693480673180489	11.61758785505158	0.20853405380271786	-10.288768064	0.028
Kennebec River, Maine	Lewes, Delaware	11.61758785505158	0.20853405380271786	10.600427150400902	0.4201596537295314	6.79838576428	0.028
Netherlands	Oregon Continental Shelf	9.243589060806611	0.693480673180489	9.096373184577326	1.0055379720033422	0.303897706673	1.0
Sheepscot River, Maine	Oregon Continental Shelf	11.649736506147454	0.21856602312171236	9.096373184577326	1.0055379720033422	11.5558402839	0.028
Sheepscot River, Maine	Damariscotta River, Maine	11.649736506147454	0.21856602312171236	11.181958837130761	0.0	-2.0528194263	1.0
Netherlands	Damariscotta River, Maine	9.243589060806611	0.693480673180489	11.181958837130761	0.0	2.36231740415	1.0
Back River, Maine	Sheepscot River, Maine	11.18149389727561	0.6288597387682928	11.649736506147454	0.21856602312171236	-2.89362862369	0.308
Sheepscot River, Maine	Gulf of Mexico	11.649736506147454	0.21856602312171236	7.35344328120127	1.4075573517463509	14.4197768026	0.028
Oregon Continental Shelf	Lewes, Delaware	9.096373184577326	1.0055379720033422	10.600427150400902	0.4201596537295314	-3.79858570439	0.028
Damariscotta River, Maine	Gulf of Mexico	11.181958837130761	0.0	7.35344328120127	1.4075573517463509	2.59339084862	1.0
