# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within geographic_location	All between geographic_location	-50.5939461797	0.0	0.0	N/A	N/A
All within geographic_location	Back River, Maine vs. Back River, Maine	-0.465155268809	0.6419672448146979	1	N/A	N/A
All within geographic_location	Netherlands vs. Netherlands	-3.78658479761	0.0001660567750226514	0.11059381216508583	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Sheepscot River, Maine	4.12406037148	4.048395058209309e-05	0.026962311087673996	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Oregon Continental Shelf	3.60081372484	0.00033839856324924256	0.22537344312399554	N/A	N/A
All within geographic_location	Kennebec River, Maine vs. Kennebec River, Maine	0.132050387139	0.8949803325629848	1	N/A	N/A
All within geographic_location	Lewes, Delaware vs. Lewes, Delaware	2.65946612202	0.008004971986248055	1	N/A	N/A
All within geographic_location	Gulf of Mexico vs. Gulf of Mexico	-5.19003309713	2.609268612228816e-07	0.00017377728957443915	N/A	N/A
All within geographic_location	Back River, Maine vs. Netherlands	-17.6132836533	6.958433171853628e-58	4.634316492454516e-55	N/A	N/A
All within geographic_location	Back River, Maine vs. Sheepscot River, Maine	-2.93951363053	0.0033798164266761114	1	N/A	N/A
All within geographic_location	Back River, Maine vs. Oregon Continental Shelf	-25.0425219302	6.313888001319333e-101	4.2050494088786755e-98	N/A	N/A
All within geographic_location	Back River, Maine vs. Kennebec River, Maine	-8.75331315464	1.3725635764286326e-17	9.141273419014693e-15	N/A	N/A
All within geographic_location	Back River, Maine vs. Lewes, Delaware	-13.6869649263	4.428274127142838e-38	2.94923056867713e-35	N/A	N/A
All within geographic_location	Back River, Maine vs. Damariscotta River, Maine	-4.03243666809	6.145143803629962e-05	0.04092665773217555	N/A	N/A
All within geographic_location	Back River, Maine vs. Gulf of Mexico	-42.5329258105	1.4879382265848286e-207	9.909668589054959e-205	N/A	N/A
All within geographic_location	Netherlands vs. Sheepscot River, Maine	-30.5969537612	1.1796389409448648e-137	7.8563953466928e-135	N/A	N/A
All within geographic_location	Netherlands vs. Oregon Continental Shelf	-21.8886802734	2.0422020129798617e-82	1.360106540644588e-79	N/A	N/A
All within geographic_location	Netherlands vs. Kennebec River, Maine	-23.3413938593	6.76920998699707e-91	4.508293851340049e-88	N/A	N/A
All within geographic_location	Netherlands vs. Lewes, Delaware	-16.1749501424	1.8978948021560488e-50	1.2639979382359286e-47	N/A	N/A
All within geographic_location	Netherlands vs. Damariscotta River, Maine	-6.3960879621	2.965032945891507e-10	1.9747119419637437e-07	N/A	N/A
All within geographic_location	Netherlands vs. Gulf of Mexico	-38.5575590221	1.2499497815659548e-184	8.324665545229259e-182	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Oregon Continental Shelf	-48.8849991738	5.43884770114796e-263	3.6222725689645416e-260	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Kennebec River, Maine	-8.96013772852	1.6503404838662137e-18	1.0991267622548983e-15	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Lewes, Delaware	-22.4430867274	2.734842841465244e-88	1.8214053324158525e-85	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Damariscotta River, Maine	-6.7132470407	3.9441069345618444e-11	2.6267752184181883e-08	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Gulf of Mexico	-79.1874294263	0.0	0.0	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Kennebec River, Maine	-38.6346827212	1.2294887290236464e-186	8.188394935297485e-184	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Lewes, Delaware	-31.6144798649	2.89034010974995e-141	1.924966513093467e-138	N/A	N/A
