# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within geographic_location	All between geographic_location	-32.9158977828	1.6619507105363156e-210	1.1068591732171861e-207	N/A	N/A
All within geographic_location	Back River, Maine vs. Back River, Maine	1.43429826981	0.15194085846334593	1	N/A	N/A
All within geographic_location	Netherlands vs. Netherlands	-0.276477129881	0.7822645369616026	1	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Sheepscot River, Maine	10.8208408668	0.0	0.0	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Oregon Continental Shelf	-2.20544852483	0.02772937360925268	1	N/A	N/A
All within geographic_location	Kennebec River, Maine vs. Kennebec River, Maine	3.5731663716	0.00037554779473669697	0.2501148312946402	N/A	N/A
All within geographic_location	Lewes, Delaware vs. Lewes, Delaware	0.419594720732	0.6749099210896086	1	N/A	N/A
All within geographic_location	Gulf of Mexico vs. Gulf of Mexico	-11.507895953	1.178321007651149e-28	7.847617910956652e-26	N/A	N/A
All within geographic_location	Back River, Maine vs. Netherlands	-6.39140845861	2.9759608882366287e-10	1.9819899515655948e-07	N/A	N/A
All within geographic_location	Back River, Maine vs. Sheepscot River, Maine	3.23339766353	0.0012723108991832266	0.8473590588560289	N/A	N/A
All within geographic_location	Back River, Maine vs. Oregon Continental Shelf	-8.97915638738	2.1931989092470993e-18	1.4606704735585682e-15	N/A	N/A
All within geographic_location	Back River, Maine vs. Kennebec River, Maine	-2.15422087626	0.031542434598391726	1	N/A	N/A
All within geographic_location	Back River, Maine vs. Lewes, Delaware	-6.64379850664	6.020394826464926e-11	4.009582954425641e-08	N/A	N/A
All within geographic_location	Back River, Maine vs. Damariscotta River, Maine	-1.45970314893	0.1448334817698842	1	N/A	N/A
All within geographic_location	Back River, Maine vs. Gulf of Mexico	-23.2728751268	6.756854008424321e-92	4.5000647696105976e-89	N/A	N/A
All within geographic_location	Netherlands vs. Sheepscot River, Maine	-8.82709456016	6.4389578248288976e-18	4.288345911336046e-15	N/A	N/A
All within geographic_location	Netherlands vs. Oregon Continental Shelf	-11.21694866	4.312949231189996e-27	2.8724241879725372e-24	N/A	N/A
All within geographic_location	Netherlands vs. Kennebec River, Maine	-7.89977660687	1.0014192214028308e-14	6.669452014542853e-12	N/A	N/A
All within geographic_location	Netherlands vs. Lewes, Delaware	-7.1216768888	2.5826925332752106e-12	1.7200732271612902e-09	N/A	N/A
All within geographic_location	Netherlands vs. Damariscotta River, Maine	-2.19525891405	0.028482251234627762	1	N/A	N/A
All within geographic_location	Netherlands vs. Gulf of Mexico	-26.6097665227	3.0206533552142765e-112	2.0117551345727082e-109	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Oregon Continental Shelf	-18.2750431658	2.8266387801573612e-64	1.8825414275848025e-61	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Kennebec River, Maine	2.22319178536	0.026434559240661626	1	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Lewes, Delaware	-8.10244310841	1.8263034826868905e-15	1.2163181194694692e-12	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Damariscotta River, Maine	-1.90489309623	0.05720471098423329	1	N/A	N/A
All within geographic_location	Sheepscot River, Maine vs. Gulf of Mexico	-46.0326950816	1.562720144632149e-265	1.0407716163250112e-262	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Kennebec River, Maine	-16.7054303853	3.9919098926639447e-54	2.658611988514187e-51	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Lewes, Delaware	-16.9323025718	6.567253525497904e-55	4.373790847981604e-52	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Damariscotta River, Maine	-5.59672397318	3.1594993058799466e-08	2.1042265377160445e-05	N/A	N/A
All within geographic_location	Oregon Continental Shelf vs. Gulf of Mexico	-25.7102053169	1.9052926974450496e-110	1.268924936498403e-107	N/A	N/A
All within geographic_location	Kennebec River, Maine vs. Lewes, Delaware	-3.18077710197	0.0015276748510442027	1	N/A	N/A
All within geographic_location	Kennebec River, Maine vs. Damariscotta River, Maine	-1.10808726802	0.26821247961647127	1	N/A	N/A
All within geographic_location	Kennebec River, Maine vs. Gulf of Mexico	-37.3548399952	5.355003128698059e-187	3.5664320837129074e-184	N/A	N/A
All within geographic_location	Lewes, Delaware vs. Damariscotta River, Maine	-0.859717463345	0.39024689905847953	1	N/A	N/A
All within geographic_location	Lewes, Delaware vs. Gulf of Mexico	-32.5747561409	2.9324873767933633e-151	1.9530365929443798e-148	N/A	N/A
All within geographic_location	Damariscotta River, Maine vs. Gulf of Mexico	-11.1962958095	7.228339556057535e-27	4.814074144334318e-24	N/A	N/A
All between geographic_location	Back River, Maine vs. Back River, Maine	6.89870915271	6.250333584034706e-12	4.162722166967114e-09	N/A	N/A
All between geographic_location	Netherlands vs. Netherlands	5.12050489434	3.219506341523015e-07	0.0002144191223454328	N/A	N/A
All between geographic_location	Sheepscot River, Maine vs. Sheepscot River, Maine	34.4720323466	0.0	0.0	N/A	N/A
All between geographic_location	Oregon Continental Shelf vs. Oregon Continental Shelf	9.00353327292	0.0	0.0	N/A	N/A
All between geographic_location	Kennebec River, Maine vs. Kennebec River, Maine	15.0588312298	0.0	0.0	N/A	N/A
All between geographic_location	Lewes, Delaware vs. Lewes, Delaware	7.8226462235	6.8833827526759706e-15	4.584332913282196e-12	N/A	N/A
All between geographic_location	Gulf of Mexico vs. Gulf of Mexico	5.70577408147	1.2533381221757622e-08	8.347231893690576e-06	N/A	N/A
All between geographic_location	Back River, Maine vs. Netherlands	1.72839487099	0.0840092422810117	1	N/A	N/A
All between geographic_location	Back River, Maine vs. Sheepscot River, Maine	20.1117246296	0.0	0.0	N/A	N/A
All between geographic_location	Back River, Maine vs. Oregon Continental Shelf	2.45926313026	0.013971727855643046	1	N/A	N/A
All between geographic_location	Back River, Maine vs. Kennebec River, Maine	9.60163722213	0.0	0.0	N/A	N/A
All between geographic_location	Back River, Maine vs. Lewes, Delaware	2.77261633953	0.005591288270882622	1	N/A	N/A
All between geographic_location	Back River, Maine vs. Damariscotta River, Maine	1.90782445441	0.05649976019921943	1	N/A	N/A
All between geographic_location	Back River, Maine vs. Gulf of Mexico	-8.79325642317	2.25025487944346e-18	1.4986697497093442e-15	N/A	N/A
All between geographic_location	Netherlands vs. Sheepscot River, Maine	7.44377857678	1.2279066652354231e-13	8.177858390467918e-11	N/A	N/A
All between geographic_location	Netherlands vs. Oregon Continental Shelf	0.103282141589	0.9177451417432922	1	N/A	N/A
All between geographic_location	Netherlands vs. Kennebec River, Maine	3.5879737768	0.00033795773156963804	0.22507984922537894	N/A	N/A
All between geographic_location	Netherlands vs. Lewes, Delaware	2.26920769183	0.023318550792380544	1	N/A	N/A
All between geographic_location	Netherlands vs. Damariscotta River, Maine	1.14475427491	0.25239315880886637	1	N/A	N/A
All between geographic_location	Netherlands vs. Gulf of Mexico	-12.3392795566	2.9040649548175465e-34	1.934107259908486e-31	N/A	N/A
