	sequences per sample	iteration	ERR2233229	ERR2233255	ERR2233253	ERR2233254	ERR2233231	ERR2233239	ERR2233233	ERR2233235	ERR2233236	ERR2233240	ERR2233238	ERR2233271	ERR2233241	ERR2233248	ERR2233243	ERR2233245	ERR2233246	ERR2233249	ERR2233250	ERR2233251	ERR2233259	ERR2233264	ERR2233265	ERR2233268	ERR2233277	ERR2233278	ERR2233287	ERR2233317	ERR2233261	ERR2233270	ERR2233266	ERR2233234	ERR2233247	ERR2233257	ERR2233262	ERR2233269	ERR2233267	ERR2233237	ERR2233256	ERR2233286	ERR2233292	ERR2233310	ERR2233293	ERR2233299	ERR2233301	ERR2233303	ERR2233260	ERR2233244	ERR2233304	ERR2233273	ERR2233276	ERR2233318	ERR2233258	ERR2233312	ERR2233263	ERR2233307	ERR2233272	ERR2233309	ERR2233274	ERR2233275	ERR2233279	ERR2233280	ERR2233281	ERR2233282	ERR2233283	ERR2233284	ERR2233285	ERR2233289	ERR2233297	ERR2233295	ERR2233296	ERR2233313	ERR2233300	ERR2233314	ERR2233305	ERR2233311	ERR2233306	ERR2233308	ERR2233315	ERR2233316	ERR2233319	ERR2233320	ERR2233321	ERR2233230	ERR2233242	ERR2233288	ERR2233290	ERR2233291	ERR2233232	ERR2233252
alpha_rarefaction_10_0.txt	10	0	3.0363127210000003	3.0940890839999997	4.906973789999999	3.65502813	3.474521967	2.9611217090000004	3.361041561000001	2.5314043980000003	3.7695796660000003	2.5282358670000002	3.3833331120000003	4.309922654999998	2.2957990920000007	3.221830201	3.6795853810000008	2.83051712	4.57652714	2.3515918860000005	3.2946866339999987	3.718777872	3.237860870000002	2.787503846	3.816744668999999	3.2112317730000006	4.311873972000001	2.7594789800000012	2.3196559660000005	2.562829012000001	3.6074737500000005	2.545840011000001	3.0620827049999995	4.1363730620000005	3.3630932089999996	3.991528602999999	3.2016428099999996	3.277061168	2.6704733390000004	3.6970321450000005	2.85944486	2.025669648	2.4597459100000005	2.847940853999999	2.7100135150000004	1.6193741700000002	1.9401305140000005	1.955622446	3.5887478449999994	3.0428969559999985	2.923423065	5.141965032999996	3.5599368370000013	3.5685085869999993	2.7224755869999995	3.217169137999999	3.5658317250000002	2.6893390340000005	2.9228023770000005	2.6678499759999994	2.235878633	2.341315346	3.132809340999999	2.6278473080000007	4.296241054999999	2.9909596929999998	2.260848817	2.9604068400000005	1.627806478	1.6871880460000002	3.4961747849999982	1.7403980410000002	2.462453188000001	2.601177284000001	1.1708207359999998	2.66170132	3.4013363390000007	3.131233908	3.046192411	0.8072805219999997	1.7505524979999998	2.758013108	4.561210368999999	3.3512461269999996	4.513570375999998	2.9526623990000003	2.950812794	2.0730544109999993	1.9515725230000005	2.8958230629999986	2.8964208179999997	4.101781207999998
alpha_rarefaction_10_1.txt	10	1	3.8046379199999993	3.232467173999999	3.262275418	3.5699459079999993	1.997877401	2.702073166999999	4.787181766	4.101346808000001	3.100298417000001	3.7345393049999984	3.474696584999998	3.9742100629999997	2.548322851000001	2.442173008	4.472041575999999	3.589602968999999	2.6610459420000003	3.7717231090000007	3.965210875	2.948042440000001	2.7771656730000003	4.337322648999999	4.6345650739999975	3.246083891	3.796123104999999	2.9012332730000017	0.9431892039999998	3.373307329	2.6329462	2.7937466909999995	3.625839414000001	3.1819734910000004	3.8233666089999994	3.44512539	3.143301685000001	4.367489653999998	2.7473505719999998	3.8529292899999996	3.234475438	2.9322485549999993	2.5599269569999987	2.2806563130000006	2.052980662	1.5233838200000005	2.5072292859999994	3.726195852	3.963596247000001	3.1784265820000006	3.29124858	3.085276773	3.2614330929999995	3.4061796429999993	1.917490073	3.3913738900000006	3.134870457999999	2.8684694139999993	3.6303419239999997	3.647309181999999	3.465445568999999	3.3070733199999998	3.2172067959999993	2.5453626990000005	3.4008043100000003	2.7245797900000004	3.213010159999999	3.6828867460000008	2.8033062589999993	3.234184268000001	2.1709669480000002	2.5770828170000004	3.118108558	3.284858371999999	2.083172413	3.490739046	2.591452892999999	2.172183673000001	3.4990073489999998	2.2238779500000003	2.4753513789999992	4.082398748000001	3.7528400319999995	2.8474962469999996	3.294264428000001	3.492172942	3.5801258110000003	2.040551022	2.9803940699999996	1.2596186219999996	3.767901255	3.4022949330000007
alpha_rarefaction_10_2.txt	10	2	3.41614699	2.9843268170000004	3.8510458430000005	2.213908874999999	2.2241252760000005	3.8453917879999997	2.56819179	2.539464834000001	3.345222023999999	2.7392920320000007	3.779258623999999	3.4194582549999994	3.4988479189999993	3.3101257959999995	2.9250871240000005	2.9739750860000003	4.121038272	3.451338725000001	2.6614748400000003	3.0963125970000003	3.184930578000001	4.110633053000001	2.601426546000001	4.408631336999999	3.1311603080000006	3.2667755190000007	2.4262353119999998	5.551170194	2.614970829999999	3.3002165850000007	2.473223406	3.6866143310000004	3.034938837	2.4073669080000006	3.343487350000001	3.9426433679999993	3.8781933809999996	3.263432034000001	4.021838579	3.8762908250000003	2.7735172809999997	3.174977535999999	2.8699892279999997	1.3313941939999994	1.8500296299999994	1.9014928139999998	3.391576551000001	3.6740002110000005	3.4578557770000002	3.4812596340000015	2.4665446849999997	3.288893269999999	3.310548339	2.375084908	2.931961644999999	2.8603394239999997	3.7890233700000002	3.7190854179999993	4.038796719000002	3.6124919459999996	3.331165222	3.2603789920000006	3.5604375009999996	5.3816633849999995	2.169850237	3.4882981390000007	2.667319450000001	2.8344132630000005	2.2407156919999998	3.4196729230000003	2.864519851	2.6955937330000004	2.7359238819999994	3.1304792700000004	3.293548172	3.0806485840000004	3.480949441	1.6578484190000002	2.2990135819999993	2.408555302000001	2.0831182720000005	3.2255235909999986	3.152373267000001	2.9596142320000007	3.2629770110000003	1.5363231849999999	1.6146844089999999	1.2920399339999993	2.320958299	3.8236544539999997
alpha_rarefaction_10_3.txt	10	3	2.6785842129999993	3.009845023	3.4861467349999993	1.9387625490000004	2.458773315	3.4473780919999997	2.87985526	2.7992363969999996	2.641110465	2.3142124209999997	2.9529620739999975	2.9080791569999995	2.1785543289999993	2.466724179	3.3887774360000003	4.292916998000001	3.224465030999999	2.065023041000001	2.780883673999999	3.501278089	3.7672755249999996	3.2010582129999996	2.974675097	3.3384668599999996	3.61161853	2.4203205829999996	1.5335257249999996	2.809341919	3.6697938900000002	3.5929499019999995	2.579483281000001	2.964905797	3.9471939810000003	4.690880259000002	4.527430871	3.4786746239999986	1.9114567360000005	3.205844512	3.345342565	3.137162365	1.9892113919999999	2.668002236	4.005708413000001	2.0966095709999992	1.5775303419999998	1.5231024139999998	4.258328932	4.136078264	3.934431351000001	3.697036181000001	2.6404624549999998	2.651442725	3.0665331219999996	5.573083909999999	4.148798626000001	3.3451286299999987	2.2133872689999996	2.6788874889999983	2.6613884110000012	2.7673068400000007	3.2515499939999994	3.254677434	2.3087995130000003	4.2281198	4.925678578000001	2.5024051099999998	5.617828021999999	1.1947222869999998	3.708164929999999	2.604120917	2.165972198	3.089732395	2.014397416999999	2.697284864999999	2.713718760999999	1.5368267100000002	3.301461815999999	1.6982214039999999	3.2022652499999995	3.0681552539999997	3.8458937989999993	3.138761277000001	3.2416808779999995	3.264505030000002	1.8140051399999992	3.205868695999999	2.9797580349999997	1.774907792999999	2.4147560769999994	2.935543474000001
alpha_rarefaction_10_4.txt	10	4	3.1863385080000004	3.171415724000001	5.198658449999998	2.5008773909999995	3.8052958629999987	2.834570276	3.3209736050000003	3.008818073	3.242009682	3.220893300000001	2.8339159149999995	3.3085028560000005	3.3877799029999998	3.541708394	3.9666823049999995	3.849774797000001	3.190824747	2.4524869640000007	2.904512842	2.7905465640000005	3.1589654820000006	3.1028757590000002	3.910270296	2.749088613999999	2.637413734999999	2.44172522	1.9204939810000001	3.2909235539999995	4.105482718999999	2.9608508569999996	3.6167824640000013	3.0601709860000006	4.046916195000001	3.2784584410000006	3.182379674	3.4113504899999985	3.246829575000001	3.119247058	2.7592747180000003	2.0231482399999994	2.2172238460000004	3.4118626859999996	1.647288174	1.835867354	0.8521852069999999	1.507080647	3.588251611	3.6237291800000007	4.1599992010000015	2.780653114000001	2.7959266510000007	2.903179837	3.474091579000001	2.9229660510000017	3.3070228739999994	1.6499314939999996	3.2478072339999993	2.9518135310000004	3.2173840620000007	3.702819549999999	4.281986173000002	2.5683365749999996	3.2055247650000003	3.6853741620000005	3.171958099000001	2.8276871349999997	2.2586623150000005	2.0515638860000003	2.5760963700000006	2.1063297779999997	2.598744361	2.3680875409999995	1.619054565	2.8344637409999995	3.381168040000002	2.796752605999999	2.4794923939999984	2.743594866	1.9821619009999998	2.0598760380000005	3.9245241660000016	2.341882501	2.319759847000001	3.149129862	3.7616232370000016	2.8628271809999997	1.3353004750000002	1.6356258670000001	3.00953839	2.5699716100000005
alpha_rarefaction_10_5.txt	10	5	4.216114612	3.841779435999999	3.9700859730000007	2.5209070430000007	3.4194750180000004	4.250525824000001	3.6502587670000004	3.110844076	2.9663645710000015	3.2091597450000013	2.907220291	3.2795499350000012	2.517472419	3.359447679000001	3.4829779629999993	3.348295368	3.8210720670000002	2.3981891170000003	3.8586126290000013	3.015750705	3.6558528459999997	4.281160339000001	4.511540719000001	2.9309457669999994	2.5691809630000004	3.167610546	3.0861437940000003	3.1577858540000006	3.303409189	2.9876669790000006	3.353911504	2.4366411859999997	3.4552966020000007	2.5217297460000014	3.3733164470000006	3.9806981499999985	3.7525470480000003	3.1540733560000005	3.3001163879999997	2.2962431740000007	2.8466787620000007	2.574800119999999	2.089777199	2.0785193420000008	1.8940642469999998	1.732896602	4.854712181999998	3.2210597529999996	3.5316927240000004	3.383421954000001	3.700442659	3.022694795000001	2.9894367510000013	2.9793705850000003	2.365921277	3.4458566569999993	3.622801694000001	3.3843971320000006	2.8505119380000004	3.4766571240000017	3.171229897000001	2.7478948560000007	2.6789493600000003	3.271760285000001	3.3583051090000002	2.8781058190000004	3.3320307590000007	2.155938784	3.0710689769999995	2.8097277200000006	2.4438055660000004	3.1569427930000002	0.9514665270000001	3.448078516	5.911189265999999	1.8373946729999997	3.1635697570000003	2.6948400099999996	2.8957670509999995	3.410495713	3.1237978870000007	2.794466388	3.1111846760000006	3.0530492440000008	2.5887693300000003	3.1338012639999993	2.2210779829999994	1.563043902	2.9238206879999984	3.5904487940000007
alpha_rarefaction_10_6.txt	10	6	3.1512707439999996	3.325110421	3.0078409930000003	3.186837626	2.924575857	3.2575414650000005	2.7060188309999997	3.0586021659999996	4.143399729	3.1281715370000005	2.851972639000001	4.506037516000001	2.9947502599999987	3.637038326000002	4.2784330839999996	3.524172311	3.843443887000001	2.747452215	2.822364532000001	3.0259873639999992	2.586966048000001	3.358377284000002	3.227390073000001	3.406963484999999	4.300094187	2.8931132579999996	2.5223585090000005	3.2035275769999996	4.107962568	3.098113081000001	3.4796148490000003	2.6294975780000005	2.6132849090000003	2.9592709179999996	3.5256159420000017	3.481699269999999	3.2991660489999997	3.487700237000002	2.643421588999999	1.9579289969999996	3.299410692	1.8103422849999997	2.150169977	0.8364030809999999	1.5361678719999998	1.8745124069999999	3.619578624	3.2617240389999993	2.678686695999999	4.396915919000001	2.528617278000001	5.650990331000003	4.288824903	3.398805240000001	4.093210459000002	2.217482403	3.491763094999999	3.580079659	4.140702729000001	2.9608406879999998	2.9500761740000003	2.6203543430000003	4.974093633000002	2.969042566	3.542949363	4.818537453000002	1.8003085600000004	1.8769941729999995	2.5802895970000006	3.0010809380000003	3.402626474	2.5403894490000005	2.089954852	2.8477517750000008	2.877487751999999	2.0591697099999995	1.796026602	3.4664686929999995	2.8686925510000005	2.9605798030000012	2.6460834799999997	2.6361324629999987	2.5855327859999995	4.099987983000001	3.3862185370000004	2.166419081999999	2.4764334349999997	2.3802886259999996	3.134782802000001	3.741485977000001
alpha_rarefaction_10_7.txt	10	7	3.576565558	2.3727609120000004	3.298479276999999	3.597621900000001	3.312331402	4.068713204	3.4432863800000013	2.8378210950000016	4.281093532999998	2.916886129	3.952905359	3.8488086649999995	3.14247162	3.202860378999999	3.1285011250000005	3.666881135	3.614272701000001	3.372445741999999	4.146256361999999	3.2285761849999997	4.159690966000001	2.8087914390000006	4.641953405000001	2.7593302440000014	3.985594863	2.406145518	2.1161453940000006	1.8612014970000001	3.9574120710000016	3.4424387820000004	3.0689021159999994	3.6221683150000006	2.731560753000002	3.9289230760000025	3.4236495810000007	2.7714886389999998	2.3287106069999997	3.5775749830000008	2.6691105059999995	2.1656956849999998	3.277698877000001	3.0417921869999995	2.448751108	1.8749642739999997	1.3034574509999999	2.2627931960000014	3.5358015060000016	3.1412668129999997	2.440546641000001	5.253522166999998	3.4262282099999988	2.5743217780000007	3.946427719000001	2.892933637	3.0019323239999998	2.4753964219999984	2.712712693	2.090298498	3.1362978669999997	2.535989533	2.8584672499999986	3.4488349940000007	2.3422664100000006	3.509992075000001	3.7012073220000015	3.6130421210000008	1.9930544350000003	2.812683287999999	2.3753405180000007	2.132488167	3.622594026999999	3.192149154000001	1.8058096600000002	3.644179426	5.026416245000002	2.0942877220000007	3.3412605040000014	1.9092258519999998	1.9191242169999998	2.860492830000001	2.70768655	2.5379227060000007	4.475615175	3.108874277000001	3.0026369150000005	3.6652055269999995	1.9540766880000007	1.6467443760000002	3.5131335459999997	3.4642688259999996
alpha_rarefaction_10_8.txt	10	8	2.714169645999999	4.801173187000001	4.089910657000003	2.227571545	2.3499106449999996	3.4569690420000008	2.8653570120000005	3.431807735999999	3.869645282999999	2.740878655000001	3.8432172189999996	3.345142189000001	3.4709468290000003	3.941317078	2.8269925400000004	2.7162432650000006	3.459878285	2.9268723490000013	2.2287192530000004	3.1598446299999994	2.5507285670000006	3.8550054670000002	3.3538577609999995	4.070939658	2.809974032000001	2.4988936069999994	2.456531512	2.9311884690000016	3.4913398689999995	4.239452877999999	3.234121375000001	1.9808331800000005	3.861771413000001	3.4403488129999995	3.5230286779999993	3.2470979450000006	2.588486588999999	2.871145139	3.0779144659999997	2.03814959	2.40175159	2.5962085879999997	3.521244324000001	1.9517597849999997	2.0678698970000005	2.1541063429999987	3.2374745580000006	2.6332743380000005	3.4747838529999995	2.928627676	3.1497905459999997	5.037284902	3.026207485000001	3.126694807999998	2.7529643120000005	2.4640797660000002	3.0834658719999997	2.984376096	3.061216052999999	2.9616814080000005	3.4191837409999994	2.8701019739999993	3.3671591070000004	3.4501875050000006	1.6432567780000007	3.0151318829999996	2.9441085930000006	3.061336992	4.1233779030000015	2.5376768530000007	2.025783275	3.9048677660000006	1.4200507020000004	3.706366582999999	2.2797806530000004	2.3480451580000006	2.756870811999999	3.1215658150000003	2.5017808589999992	3.290941043999999	3.235617512000001	2.2974572450000004	2.487352496	2.6473238460000013	2.8018597889999994	3.400732685	2.057160916	3.0861283750000004	2.5294744450000004	2.8317333419999997
alpha_rarefaction_10_9.txt	10	9	2.6629272670000006	3.8778203339999986	3.250799036000002	3.536193553999999	2.599207713	2.315377355	2.882983205	2.6104699719999997	3.037017381	2.5559951400000003	3.2676115830000008	2.4625534860000005	3.683051392	3.530187224999999	4.162353602	2.9905366680000003	3.4098812809999983	2.4384741699999988	2.637658519999999	2.970077451	3.5118618310000005	2.8986589030000007	3.6281495840000013	4.010650154000002	2.8875707580000003	3.6189494790000003	1.6221268079999993	2.9957399200000006	3.520272171	4.126415485000001	3.6961894589999997	3.5666215729999995	3.338279537000001	3.5767977100000006	4.5183991820000005	3.4328506400000003	3.1926662710000007	3.946323174999999	4.05191363	2.40436184	2.681938765999999	2.512714733	1.896774633	1.2372480399999999	1.027973649	3.107724963999999	3.6038447169999994	3.1517766070000004	3.279673815999999	3.461917509	2.7048885909999996	5.167499633	2.636254484	3.0087107769999997	3.2031323449999993	2.8218816260000006	4.192149896000002	2.104364691	2.9802018050000014	2.3569812659999996	3.3442454	2.602232032	3.2319603750000003	3.0634821259999994	3.0165360549999995	2.7603782339999996	2.7664499169999996	2.0951927859999997	2.324608314	2.648105412	2.7217528360000007	3.0156182649999996	1.7959981470000002	3.4365801090000003	3.5298887789999998	2.014847932999999	3.644782404000001	1.49177051	1.360148096	2.3785543380000003	3.6599058690000006	3.2682290210000007	3.6018854220000005	3.0630197020000014	3.369311706	2.007609489999999	1.522441779	0.8348011120000001	1.9932276950000003	3.212139223000001
