Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Cross River	Station A	672.210553310175	48.6270524341295	234.54816534676897	78.7292831348541	11.7650261878	0.132
HH200	Lowes Cove	380.62805413987127	47.99396699179962	579.5806738700887	0.0	3.81318328015	1.0
The Eddy	Merrow Island	680.0744272723604	26.50085072669233	701.1793140164707	24.26519233979542	-1.03942674286	1.0
Phippsburg	Cape Shores	669.3154764811762	22.565239591111975	439.46744792941575	75.24435911007791	6.70494064733	0.066
The Eddy	Fort Popham	680.0744272723604	26.50085072669233	674.2836775131072	47.291447467698134	0.377320766789	1.0
Phippsburg	Station 3	669.3154764811762	22.565239591111975	254.08905966003502	91.46872772248608	10.1479334619	0.132
Station 3	Oude Bieten Haven B	254.08905966003502	91.46872772248608	344.64654910777034	94.200303331448	-1.3455079128	1.0
Merrow Island	HH200	701.1793140164707	24.26519233979542	380.62805413987127	47.99396699179962	8.56432030371	0.858
Phippsburg	HH200	669.3154764811762	22.565239591111975	380.62805413987127	47.99396699179962	13.181827014	0.066
Cross River	HH200	672.210553310175	48.6270524341295	380.62805413987127	47.99396699179962	11.4055128763	0.066
Phippsburg	Oude Bieten Haven B	669.3154764811762	22.565239591111975	344.64654910777034	94.200303331448	7.05180618847	0.396
Phippsburg	Oude Bieten Haven A	669.3154764811762	22.565239591111975	303.9281436510707	145.96379041178733	5.28290421602	0.858
The Eddy	Cape Shores	680.0744272723604	26.50085072669233	439.46744792941575	75.24435911007791	12.5121093884	0.066
Merrow Island	Lowes Cove	701.1793140164707	24.26519233979542	579.5806738700887	0.0	-2.8932392803	1.0
Fort Popham	Cross River	674.2836775131072	47.291447467698134	672.210553310175	48.6270524341295	0.0683409238816	1.0
Station 3	HH200	254.08905966003502	91.46872772248608	380.62805413987127	47.99396699179962	-3.89862750041	0.066
Cape Shores	Lowes Cove	439.46744792941575	75.24435911007791	579.5806738700887	0.0	1.64222610002	1.0
Cross River	Oude Bieten Haven B	672.210553310175	48.6270524341295	344.64654910777034	94.200303331448	6.06714209818	0.264
Phippsburg	Merrow Island	669.3154764811762	22.565239591111975	701.1793140164707	24.26519233979542	-1.46929354689	1.0
Phippsburg	Station A	669.3154764811762	22.565239591111975	234.54816534676897	78.7292831348541	12.499105871	0.066
