Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Cross River	Station A	20531.542947464102	2008.789610676772	5935.231647335916	2618.4357948484	11.3158473197	0.066
HH200	Lowes Cove	11627.73009980302	1730.3316668341138	13019.06297459389	0.0	0.739650163212	1.0
The Eddy	Merrow Island	21531.527370177104	1408.744564807557	23048.25599418163	3361.376255052608	-1.18337018142	1.0
Phippsburg	Cape Shores	17828.91011295123	831.2468381763697	11367.1915328988	3303.777573243269	4.33377988709	0.33
The Eddy	Fort Popham	21531.527370177104	1408.744564807557	21266.048831996155	1470.41386763239	0.390561175463	1.0
Phippsburg	Station 3	17828.91011295123	831.2468381763697	6506.2787350328135	3364.060272788707	7.52352865556	0.066
Station 3	Oude Bieten Haven B	6506.2787350328135	3364.060272788707	8991.393674524625	3243.278963431977	-1.02057677519	1.0
Merrow Island	HH200	23048.25599418163	3361.376255052608	11627.73009980302	1730.3316668341138	6.77084536438	0.594
Phippsburg	HH200	17828.91011295123	831.2468381763697	11627.73009980302	1730.3316668341138	7.8366565078	0.066
Cross River	HH200	20531.542947464102	2008.789610676772	11627.73009980302	1730.3316668341138	9.18510969488	0.066
Phippsburg	Oude Bieten Haven B	17828.91011295123	831.2468381763697	8991.393674524625	3243.278963431977	5.53408120685	0.858
Phippsburg	Oude Bieten Haven A	17828.91011295123	831.2468381763697	7703.068265718638	4745.825897870636	4.47395815799	1.0
The Eddy	Cape Shores	21531.527370177104	1408.744564807557	11367.1915328988	3303.777573243269	11.3828594119	0.066
Merrow Island	Lowes Cove	23048.25599418163	3361.376255052608	13019.06297459389	0.0	-1.72261503927	1.0
Fort Popham	Cross River	21266.048831996155	1470.41386763239	20531.542947464102	2008.789610676772	0.659746624863	1.0
Station 3	HH200	6506.2787350328135	3364.060272788707	11627.73009980302	1730.3316668341138	-4.31298465163	0.066
Cape Shores	Lowes Cove	11367.1915328988	3303.777573243269	13019.06297459389	0.0	0.440953921754	1.0
Cross River	Oude Bieten Haven B	20531.542947464102	2008.789610676772	8991.393674524625	3243.278963431977	5.78206474424	0.264
Phippsburg	Merrow Island	17828.91011295123	831.2468381763697	23048.25599418163	3361.376255052608	-3.02780554129	0.99
Phippsburg	Station A	17828.91011295123	831.2468381763697	5935.231647335916	2618.4357948484	10.2352462503	0.066
Oude Bieten Haven A	Oude Bieten Haven B	7703.068265718638	4745.825897870636	8991.393674524625	3243.278963431977	-0.316963485757	1.0
Oude Bieten Haven A	Station A	7703.068265718638	4745.825897870636	5935.231647335916	2618.4357948484	0.806679651878	1.0
Fort Popham	Oude Bieten Haven A	21266.048831996155	1470.41386763239	7703.068265718638	4745.825897870636	5.65470380334	0.858
Station 3	Oude Bieten Haven A	6506.2787350328135	3364.060272788707	7703.068265718638	4745.825897870636	-0.436139879645	1.0
Merrow Island	Station A	23048.25599418163	3361.376255052608	5935.231647335916	2618.4357948484	7.57929587812	0.66
The Eddy	Oude Bieten Haven B	21531.527370177104	1408.744564807557	8991.393674524625	3243.278963431977	11.2670511832	0.066
Merrow Island	Oude Bieten Haven B	23048.25599418163	3361.376255052608	8991.393674524625	3243.278963431977	3.62429270311	1.0
Fort Popham	Merrow Island	21266.048831996155	1470.41386763239	23048.25599418163	3361.376255052608	-0.896468534664	1.0
Fort Popham	Station A	21266.048831996155	1470.41386763239	5935.231647335916	2618.4357948484	12.5669313554	0.066
Cape Shores	Oude Bieten Haven B	11367.1915328988	3303.777573243269	8991.393674524625	3243.278963431977	0.965589784289	1.0
The Eddy	HH200	21531.527370177104	1408.744564807557	11627.73009980302	1730.3316668341138	17.4989879151	0.066
