Group1	Group2	Group1 mean	Group1 std	Group2 mean	Group2 std	t stat	p-value
Cross River	Station A	8806.6	757.9080023327369	2962.0750000000003	1145.7711734351672	10.6705810904	0.066
HH200	Lowes Cove	5114.158333333334	805.6676801038309	7786.2	0.0	3.05078744533	1.0
The Eddy	Merrow Island	9248.7	398.1201349067662	9632.65	276.64999999999964	-1.27806312768	1.0
Phippsburg	Cape Shores	8756.916666666666	302.2439931394649	5768.4	1234.4391114996315	5.37078998055	0.066
The Eddy	Fort Popham	9248.7	398.1201349067662	8924.199999999999	549.6940876523961	1.56053124821	1.0
Phippsburg	Station 3	8756.916666666666	302.2439931394649	3265.244444444444	1404.2672214132901	8.78317944678	0.066
Station 3	Oude Bieten Haven B	3265.244444444444	1404.2672214132901	4695.466666666666	1426.4974222043147	-1.38908524332	1.0
Merrow Island	HH200	9632.65	276.64999999999964	5114.158333333334	805.6676801038309	7.27198946902	0.858
Phippsburg	HH200	8756.916666666666	302.2439931394649	5114.158333333334	805.6676801038309	10.0926980608	0.066
Cross River	HH200	8806.6	757.9080023327369	5114.158333333334	805.6676801038309	8.81256948666	0.066
Phippsburg	Oude Bieten Haven B	8756.916666666666	302.2439931394649	4695.466666666666	1426.4974222043147	5.89173377602	0.33
Phippsburg	Oude Bieten Haven A	8756.916666666666	302.2439931394649	4101.2	2185.4805070433977	4.51639228411	1.0
The Eddy	Cape Shores	9248.7	398.1201349067662	5768.4	1234.4391114996315	11.2654895705	0.066
Merrow Island	Lowes Cove	9632.65	276.64999999999964	7786.2	0.0	-3.85341913806	1.0
Fort Popham	Cross River	8924.199999999999	549.6940876523961	8806.6	757.9080023327369	0.280863000489	1.0
Station 3	HH200	3265.244444444444	1404.2672214132901	5114.158333333334	805.6676801038309	-3.61669265398	0.198
Cape Shores	Lowes Cove	5768.4	1234.4391114996315	7786.2	0.0	1.44157157307	1.0
Cross River	Oude Bieten Haven B	8806.6	757.9080023327369	4695.466666666666	1426.4974222043147	4.97732368357	0.396
Phippsburg	Merrow Island	8756.916666666666	302.2439931394649	9632.65	276.64999999999964	-3.13746344699	1.0
Phippsburg	Station A	8756.916666666666	302.2439931394649	2962.0750000000003	1145.7711734351672	11.4819683153	0.066
Oude Bieten Haven A	Oude Bieten Haven B	4101.2	2185.4805070433977	4695.466666666666	1426.4974222043147	-0.322020793875	1.0
Oude Bieten Haven A	Station A	4101.2	2185.4805070433977	2962.0750000000003	1145.7711734351672	1.16009059092	1.0
Fort Popham	Oude Bieten Haven A	8924.199999999999	549.6940876523961	4101.2	2185.4805070433977	4.49162190366	1.0
Station 3	Oude Bieten Haven A	3265.244444444444	1404.2672214132901	4101.2	2185.4805070433977	-0.700131776143	1.0
Merrow Island	Station A	9632.65	276.64999999999964	2962.0750000000003	1145.7711734351672	7.58590212139	0.264
The Eddy	Oude Bieten Haven B	9248.7	398.1201349067662	4695.466666666666	1426.4974222043147	11.45614547	0.066
Merrow Island	Oude Bieten Haven B	9632.65	276.64999999999964	4695.466666666666	1426.4974222043147	3.7447361407	1.0
Fort Popham	Merrow Island	8924.199999999999	549.6940876523961	9632.65	276.64999999999964	-1.51576879092	1.0
Fort Popham	Station A	8924.199999999999	549.6940876523961	2962.0750000000003	1145.7711734351672	11.3801682995	0.066
Cape Shores	Oude Bieten Haven B	5768.4	1234.4391114996315	4695.466666666666	1426.4974222043147	1.11155835749	1.0
The Eddy	HH200	9248.7	398.1201349067662	5114.158333333334	805.6676801038309	19.4081231305	0.066
Oude Bieten Haven B	Station A	4695.466666666666	1426.4974222043147	2962.0750000000003	1145.7711734351672	2.07093737425	1.0
Fort Popham	HH200	8924.199999999999	549.6940876523961	5114.158333333334	805.6676801038309	9.83636519449	0.066
Station 3	Cross River	3265.244444444444	1404.2672214132901	8806.6	757.9080023327369	-8.23436222466	0.066
Phippsburg	Cross River	8756.916666666666	302.2439931394649	8806.6	757.9080023327369	-0.136154396452	1.0
The Eddy	Cross River	9248.7	398.1201349067662	8806.6	757.9080023327369	1.85882132492	1.0
Oude Bieten Haven A	Lowes Cove	4101.2	2185.4805070433977	7786.2	0.0	1.19227258275	1.0
Cross River	Lowes Cove	8806.6	757.9080023327369	7786.2	0.0	-1.13786290535	1.0
Station 3	Station A	3265.244444444444	1404.2672214132901	2962.0750000000003	1145.7711734351672	0.517766916903	1.0
Phippsburg	The Eddy	8756.916666666666	302.2439931394649	9248.7	398.1201349067662	-2.71044900664	0.99
Fort Popham	Oude Bieten Haven B	8924.199999999999	549.6940876523961	4695.466666666666	1426.4974222043147	5.62309889989	0.594
Phippsburg	Fort Popham	8756.916666666666	302.2439931394649	8924.199999999999	549.6940876523961	-0.596289302896	1.0
Merrow Island	Oude Bieten Haven A	9632.65	276.64999999999964	4101.2	2185.4805070433977	2.75787949828	1.0
Merrow Island	Station 3	9632.65	276.64999999999964	3265.244444444444	1404.2672214132901	5.77547676468	1.0
Cape Shores	HH200	5768.4	1234.4391114996315	5114.158333333334	805.6676801038309	1.36049876445	1.0
HH200	Oude Bieten Haven A	5114.158333333334	805.6676801038309	4101.2	2185.4805070433977	1.20307910457	1.0
Cape Shores	Station A	5768.4	1234.4391114996315	2962.0750000000003	1145.7711734351672	4.93456476554	0.066
Station 3	Lowes Cove	3265.244444444444	1404.2672214132901	7786.2	0.0	2.87955562626	1.0
Phippsburg	Lowes Cove	8756.916666666666	302.2439931394649	7786.2	0.0	-2.7143808962	1.0
Fort Popham	Station 3	8924.199999999999	549.6940876523961	3265.244444444444	1404.2672214132901	8.75320786822	0.066
Cape Shores	Oude Bieten Haven A	5768.4	1234.4391114996315	4101.2	2185.4805070433977	1.43461040446	1.0
HH200	Station A	5114.158333333334	805.6676801038309	2962.0750000000003	1145.7711734351672	5.09586459264	0.066
The Eddy	Station A	9248.7	398.1201349067662	2962.0750000000003	1145.7711734351672	22.5915991106	0.066
Merrow Island	Cape Shores	9632.65	276.64999999999964	5768.4	1234.4391114996315	3.93501091665	1.0
Cross River	Cape Shores	8806.6	757.9080023327369	5768.4	1234.4391114996315	4.92814143114	0.132
Station 3	Cape Shores	3265.244444444444	1404.2672214132901	5768.4	1234.4391114996315	-3.64637086678	0.33
The Eddy	Oude Bieten Haven A	9248.7	398.1201349067662	4101.2	2185.4805070433977	9.50293007808	0.066
The Eddy	Station 3	9248.7	398.1201349067662	3265.244444444444	1404.2672214132901	17.6717620129	0.066
Station A	Lowes Cove	2962.0750000000003	1145.7711734351672	7786.2	0.0	3.87298065099	1.0
Fort Popham	Cape Shores	8924.199999999999	549.6940876523961	5768.4	1234.4391114996315	5.40922793968	0.066
Cross River	Oude Bieten Haven A	8806.6	757.9080023327369	4101.2	2185.4805070433977	4.1758931698	0.924
HH200	Oude Bieten Haven B	5114.158333333334	805.6676801038309	4695.466666666666	1426.4974222043147	0.627421926666	1.0
Merrow Island	Cross River	9632.65	276.64999999999964	8806.6	757.9080023327369	1.3061690891	1.0
Fort Popham	Lowes Cove	8924.199999999999	549.6940876523961	7786.2	0.0	-1.74967416148	1.0
The Eddy	Lowes Cove	9248.7	398.1201349067662	7786.2	0.0	-3.51016443432	0.528
Oude Bieten Haven B	Lowes Cove	4695.466666666666	1426.4974222043147	7786.2	0.0	1.53205919956	1.0
