# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within site_name	All between site_name	-42.4325394424	0.0	0.0	N/A	N/A
All within site_name	Phippsburg vs. Phippsburg	1.65008164749	0.09956445039040451	1	N/A	N/A
All within site_name	The Eddy vs. The Eddy	1.88483168814	0.059861905399998694	1	N/A	N/A
All within site_name	Fort Popham vs. Fort Popham	0.489183791953	0.6249295874485443	1	N/A	N/A
All within site_name	Merrow Island vs. Merrow Island	0.356242314182	[0.72181629]	1	N/A	N/A
All within site_name	Station 3 vs. Station 3	3.07581821516	0.0022112442674249166	1	N/A	N/A
All within site_name	Cross River vs. Cross River	-1.31080141774	0.19053636867707702	1	N/A	N/A
All within site_name	Cape Shores vs. Cape Shores	1.5158317807	0.13018756151443522	1	N/A	N/A
All within site_name	HH200 vs. HH200	1.7298944901	0.08421735881430337	1	N/A	N/A
All within site_name	Oude Bieten Haven A vs. Oude Bieten Haven A	-3.9251146875	9.936700820884539e-05	0.30614975229145264	N/A	N/A
All within site_name	Oude Bieten Haven B vs. Oude Bieten Haven B	-2.33343582121	0.020037318524369435	1	N/A	N/A
All within site_name	Station A vs. Station A	-6.30620405782	5.930299913337298e-10	1.8271254032992216e-06	N/A	N/A
All within site_name	Phippsburg vs. The Eddy	-11.9667213426	8.683897796886523e-30	2.675508911220738e-26	N/A	N/A
All within site_name	Phippsburg vs. Fort Popham	-3.82706822693	0.00014568056293394582	0.44884181439948706	N/A	N/A
All within site_name	Phippsburg vs. Merrow Island	-4.49763681266	8.59226881465064e-06	0.026472780217938623	N/A	N/A
All within site_name	Phippsburg vs. Station 3	-32.5149916739	1.9843911336963843e-128	6.11390908291856e-125	N/A	N/A
All within site_name	Phippsburg vs. Cross River	-9.42079080594	1.521177643841092e-19	4.686748320674404e-16	N/A	N/A
All within site_name	Phippsburg vs. Cape Shores	-12.2600759109	1.4534584174430936e-30	4.478105384142171e-27	N/A	N/A
All within site_name	Phippsburg vs. HH200	-32.8269004244	1.369649104466704e-131	4.219888890861915e-128	N/A	N/A
All within site_name	Phippsburg vs. Oude Bieten Haven A	-15.2379025542	2.8632775981778672e-43	8.821758279986009e-40	N/A	N/A
All within site_name	Phippsburg vs. Oude Bieten Haven B	-13.1831569185	3.156860078193659e-34	9.726285900914664e-31	N/A	N/A
All within site_name	Phippsburg vs. Station A	-39.7124909877	1.5432774649935263e-163	4.754837869645055e-160	N/A	N/A
All within site_name	Phippsburg vs. Lowes Cove	-4.92449001834	1.1632491247559964e-06	0.003583970553373225	N/A	N/A
All within site_name	The Eddy vs. Fort Popham	-5.46263401211	6.843534998511335e-08	0.00021084931330413422	N/A	N/A
All within site_name	The Eddy vs. Merrow Island	-1.43244007386	0.1526176170498684	1	N/A	N/A
All within site_name	The Eddy vs. Station 3	-56.0459141726	4.1774166300844726e-256	1.287062063729026e-252	N/A	N/A
All within site_name	The Eddy vs. Cross River	-5.30906881229	1.546071324554615e-07	0.0004763445750952769	N/A	N/A
All within site_name	The Eddy vs. Cape Shores	-25.3387620179	3.5751164680282635e-99	1.101493383799508e-95	N/A	N/A
All within site_name	The Eddy vs. HH200	-52.6703384903	1.030182016587146e-252	3.173990793104997e-249	N/A	N/A
All within site_name	The Eddy vs. Oude Bieten Haven A	-25.4415640789	1.3367257328281198e-94	4.118451982843437e-91	N/A	N/A
All within site_name	The Eddy vs. Oude Bieten Haven B	-22.2216902354	2.6983844046832486e-78	8.313722350829089e-75	N/A	N/A
All within site_name	The Eddy vs. Station A	-66.4444760275	2.292445075e-314	7.0630232766345e-311	N/A	N/A
All within site_name	The Eddy vs. Lowes Cove	-7.74796313564	5.2615895823214676e-14	1.6210957503132442e-10	N/A	N/A
All within site_name	Fort Popham vs. Merrow Island	-2.1771936332	0.0299435926838556	1	N/A	N/A
All within site_name	Fort Popham vs. Station 3	-31.2166879891	2.971382304022424e-122	9.154828878693089e-119	N/A	N/A
All within site_name	Fort Popham vs. Cross River	-6.33165277592	5.301173282220887e-10	1.6332914882522554e-06	N/A	N/A
All within site_name	Fort Popham vs. Cape Shores	-11.1278050473	5.697388907597674e-26	1.7553655224308433e-22	N/A	N/A
All within site_name	Fort Popham vs. HH200	-29.2558444461	4.1940085701797055e-114	1.2921740404723672e-110	N/A	N/A
All within site_name	Fort Popham vs. Oude Bieten Haven A	-13.7806062189	8.452355968774364e-37	2.6041708739793815e-33	N/A	N/A
All within site_name	Fort Popham vs. Oude Bieten Haven B	-11.6240905224	8.774926842065021e-28	2.7035549600402328e-24	N/A	N/A
All within site_name	Fort Popham vs. Station A	-38.0059279817	7.456167156457504e-156	2.297245100904557e-152	N/A	N/A
All within site_name	Fort Popham vs. Lowes Cove	-3.83976989127	0.00013954415900632248	0.42993555389847954	N/A	N/A
All within site_name	Merrow Island vs. Station 3	-17.9744941221	5.653835386207604e-56	1.741946682490563e-52	N/A	N/A
All within site_name	Merrow Island vs. Cross River	-1.67956257127	0.09368119710379065	1	N/A	N/A
All within site_name	Merrow Island vs. Cape Shores	-8.38268343351	5.451993261433695e-16	1.6797591238477213e-12	N/A	N/A
All within site_name	Merrow Island vs. HH200	-16.7768599625	1.8576495762048518e-50	5.723418344287149e-47	N/A	N/A
All within site_name	Merrow Island vs. Oude Bieten Haven A	-8.49356860815	2.4942529720805806e-16	7.684793406980269e-13	N/A	N/A
All within site_name	Merrow Island vs. Oude Bieten Haven B	-7.3172759143	1.0624047445708904e-12	3.2732690180229134e-09	N/A	N/A
All within site_name	Merrow Island vs. Station A	-22.5944053158	1.836839567919109e-78	5.6593027087587755e-75	N/A	N/A
All within site_name	Merrow Island vs. Lowes Cove	-2.50665828989	0.0125180597597025	1	N/A	N/A
All within site_name	Station 3 vs. Cross River	-29.9311929409	4.600458923536041e-116	1.4174013943414543e-112	N/A	N/A
All within site_name	Station 3 vs. Cape Shores	-33.3401519647	4.688619955064432e-134	1.4445638081553514e-130	N/A	N/A
All within site_name	Station 3 vs. HH200	-23.5840726467	6.1276851642043215e-87	1.8879397990913516e-83	N/A	N/A
All within site_name	Station 3 vs. Oude Bieten Haven A	-19.5371776044	1.067245112672464e-63	3.288182192143862e-60	N/A	N/A
All within site_name	Station 3 vs. Oude Bieten Haven B	-19.9975021995	6.261309130482789e-66	1.9291093431017473e-62	N/A	N/A
All within site_name	Station 3 vs. Station A	-8.31202045902	6.598044281279554e-16	2.0328574430622306e-12	N/A	N/A
All within site_name	Station 3 vs. Lowes Cove	-14.5540661766	4.346147200713244e-40	1.3390479525397505e-36	N/A	N/A
All within site_name	Cross River vs. Cape Shores	-16.0614515731	1.6397201434753554e-47	5.051977762047571e-44	N/A	N/A
All within site_name	Cross River vs. HH200	-28.5441028653	1.4784756619919056e-110	4.555183514597061e-107	N/A	N/A
All within site_name	Cross River vs. Oude Bieten Haven A	-15.0008029473	3.361037291746083e-42	1.0355355895869682e-38	N/A	N/A
All within site_name	Cross River vs. Oude Bieten Haven B	-13.2442910152	1.7315918778128385e-34	5.335034575541356e-31	N/A	N/A
All within site_name	Cross River vs. Station A	-36.9919802736	3.25420902231094e-151	1.0026217997740006e-147	N/A	N/A
All within site_name	Cross River vs. Lowes Cove	-4.82796090158	1.8539261635609275e-06	0.005711946509931218	N/A	N/A
All within site_name	Cape Shores vs. HH200	-35.702145174	8.475442936764925e-148	2.6112839688172734e-144	N/A	N/A
All within site_name	Cape Shores vs. Oude Bieten Haven A	-14.264711839	5.4615437381289424e-39	1.6827016257175273e-35	N/A	N/A
All within site_name	Cape Shores vs. Oude Bieten Haven B	-11.9690769115	3.273670933185976e-29	1.0086180145145992e-25	N/A	N/A
All within site_name	Cape Shores vs. Station A	-40.1584220879	1.0164697228302732e-168	3.1317432160400716e-165	N/A	N/A
