	ERR2233238	ERR2233239	ERR2233230	ERR2233231	ERR2233232	ERR2233233	ERR2233234	ERR2233235	ERR2233236	ERR2233237	ERR2233259	ERR2233319	ERR2233251	ERR2233229	ERR2233308	ERR2233309	ERR2233304	ERR2233305	ERR2233306	ERR2233307	ERR2233300	ERR2233301	ERR2233303	ERR2233313	ERR2233312	ERR2233258	ERR2233310	ERR2233317	ERR2233316	ERR2233315	ERR2233314	ERR2233252	ERR2233253	ERR2233250	ERR2233318	ERR2233256	ERR2233257	ERR2233254	ERR2233255	ERR2233249	ERR2233248	ERR2233241	ERR2233240	ERR2233243	ERR2233242	ERR2233245	ERR2233244	ERR2233247	ERR2233246	ERR2233278	ERR2233279	ERR2233274	ERR2233275	ERR2233276	ERR2233277	ERR2233270	ERR2233271	ERR2233272	ERR2233273	ERR2233263	ERR2233262	ERR2233261	ERR2233260	ERR2233267	ERR2233266	ERR2233265	ERR2233264	ERR2233269	ERR2233268	ERR2233299	ERR2233296	ERR2233297	ERR2233295	ERR2233292	ERR2233293	ERR2233290	ERR2233291	ERR2233289	ERR2233288	ERR2233285	ERR2233284	ERR2233287	ERR2233286	ERR2233281	ERR2233280	ERR2233283	ERR2233282	ERR2233311	ERR2233320	ERR2233321
ERR2233238	0.0	0.651734283446	0.675063740317	0.648617878555	0.658644090292	0.653546312205	0.668252758822	0.655252547039	0.671330733538	0.663294735192	0.739270512301	0.813159040513	0.682261679067	0.680140030288	0.825694945586	0.826948671269	0.796443388155	0.792660735185	0.796412563849	0.816533894477	0.883602708469	0.908920757542	0.865574155284	0.825802624685	0.809779023835	0.706264949853	0.825457751291	0.804940127049	0.876776247491	0.849289691538	0.810060700217	0.678129625	0.688890284989	0.665590592289	0.813374509154	0.707144667531	0.691936031797	0.698811226419	0.688685048434	0.68188104084	0.670415156309	0.656103194372	0.636131852031	0.666914107407	0.657671485236	0.670896026741	0.661996715248	0.652234381874	0.665800489257	0.753964079295	0.737399497743	0.762738725299	0.766104435306	0.741947998777	0.764301541658	0.676366688682	0.675673428584	0.74362317703	0.755391910186	0.72412864847	0.729902772577	0.728916161288	0.724236138941	0.689925313473	0.687322113143	0.719752213267	0.716750740802	0.680498398044	0.693405443465	0.892784839648	0.851460957033	0.841942908242	0.839994981723	0.838923190566	0.83684882259	0.907804263286	0.945490258843	0.92046852091	0.916699112144	0.86566497247	0.855247766293	0.850992850768	0.851338301468	0.847170944357	0.855351180073	0.854974019454	0.849424524718	0.828740358664	0.763216139893	0.760764185271
ERR2233239	0.651734283446	0.0	0.692217717177	0.671091025124	0.651649781932	0.67546504531	0.654256430568	0.667806653928	0.681794837929	0.674929695441	0.730508102134	0.829428866918	0.692169234052	0.689079763961	0.831247274553	0.834301960578	0.811203336348	0.805235588205	0.816759850105	0.809935794219	0.889196788376	0.913018206864	0.874676970536	0.840327243764	0.823365288741	0.685251773702	0.840501956588	0.815928293318	0.884952947625	0.839135045423	0.825678999212	0.692632526482	0.698437610997	0.675667979257	0.827314310037	0.688595760135	0.699331339394	0.679836037688	0.700425608733	0.693964991744	0.677714721435	0.674143146122	0.65022057774	0.682844117968	0.675383653549	0.68085320195	0.674045373174	0.660502942433	0.672136247	0.763273684917	0.752288441662	0.775378098833	0.777864417314	0.758584979058	0.778256172239	0.693205387894	0.693974338258	0.753274999413	0.76587841897	0.733121482302	0.745364058616	0.737776452132	0.733703529512	0.707975709635	0.702768906312	0.727711869698	0.728241363117	0.694868664809	0.717500000923	0.897174084783	0.860806064748	0.849608101691	0.84760336611	0.847761331285	0.846799617746	0.912547565974	0.946339338404	0.923075399493	0.921062510075	0.860237057281	0.863316118294	0.859780877864	0.859858922314	0.856550817062	0.849365038136	0.863375109346	0.860355881603	0.820657241058	0.774403264818	0.773408481874
ERR2233230	0.675063740317	0.692217717177	0.0	0.700808154247	0.687958798797	0.678383944688	0.677574579588	0.662871615353	0.660626655414	0.658803111824	0.768438005398	0.841265051551	0.698512029267	0.684524063642	0.83767299583	0.835987499862	0.811014936658	0.808805551077	0.812372042739	0.831892046154	0.88866957692	0.912270123338	0.870398759506	0.836724674588	0.816833918287	0.686687889068	0.833530213395	0.833853819965	0.893412415434	0.855699241578	0.816691050318	0.660185985358	0.711623641159	0.656322121485	0.840120004	0.687640033868	0.679739859529	0.702898181609	0.708432679043	0.660621493755	0.656313563592	0.695200870223	0.675917398881	0.672252829961	0.677252806577	0.663636840234	0.674477166035	0.65863051336	0.654968449676	0.778984283748	0.766648549643	0.773785473718	0.780864197412	0.766007174142	0.793277662485	0.694033098776	0.691515683839	0.75463416959	0.765364435319	0.716000807087	0.751199867347	0.708104236041	0.720887783608	0.706990877293	0.706777036144	0.706718838281	0.706974221442	0.687922031629	0.717981156236	0.896791542172	0.854387436506	0.845984465839	0.845863747723	0.844334857906	0.844218738864	0.911527806236	0.946114500324	0.919229806184	0.915691939424	0.878017877172	0.866876314407	0.857727830993	0.861150704975	0.865838352021	0.871677029731	0.869146158605	0.866759824843	0.837136991972	0.767556748977	0.756741862289
ERR2233231	0.648617878555	0.671091025124	0.700808154247	0.0	0.662890904869	0.658524007332	0.677753318155	0.667067981501	0.695954724217	0.684042083856	0.733868660712	0.816089463217	0.697567791768	0.699154201724	0.836282425062	0.839153669391	0.811446418701	0.804820856773	0.8118797853	0.832760978121	0.89604408543	0.915166077956	0.878601511151	0.841358938192	0.822311181618	0.730609271835	0.838655587054	0.812138168307	0.880265353434	0.864100669572	0.827724276775	0.70000528273	0.693343648575	0.693014197246	0.821251118165	0.725088304748	0.715773261734	0.718974368528	0.707742738468	0.711917191886	0.701935476114	0.65575834199	0.650362213666	0.67582751914	0.662481228944	0.682148883985	0.666116441388	0.664827264033	0.680512616787	0.757020728864	0.735176131764	0.774657013422	0.7680475696	0.743126035257	0.760378117994	0.682527727808	0.691981531541	0.750040313832	0.768202146688	0.739522902323	0.732631433033	0.742817460551	0.734026587261	0.698120075519	0.692196417984	0.732932088671	0.72767885519	0.692261158102	0.701314171289	0.900829172681	0.86828730405	0.855942892105	0.854141374726	0.853843831553	0.85137760012	0.91838188405	0.950977324614	0.927422666539	0.924530356431	0.875622299619	0.865674151093	0.864893488645	0.865425581969	0.858087885087	0.866818666764	0.86499954472	0.860427870181	0.842712068929	0.774865629526	0.772367732423
ERR2233232	0.658644090292	0.651649781932	0.687958798797	0.662890904869	0.0	0.658552367752	0.644778821809	0.663228283568	0.683700870405	0.673579598333	0.718130634859	0.811059426589	0.694294376236	0.691348390259	0.823352708797	0.824557122416	0.800346911758	0.794869324548	0.803058784118	0.800760423513	0.883837948049	0.907802883938	0.864936107678	0.832217235261	0.812395094506	0.684422297813	0.830508183941	0.802781754293	0.871965392016	0.829195469499	0.818495590935	0.690747225095	0.698069420835	0.674950881821	0.814172731154	0.684527298101	0.703233063479	0.675960006257	0.704622172727	0.697627139127	0.685835761641	0.662889747563	0.656166109742	0.673200921175	0.659752308062	0.674686966634	0.66697862097	0.660100740185	0.669101769128	0.750182540685	0.739281182244	0.762694281477	0.760512522915	0.740187797636	0.762984133433	0.687876859947	0.688851420798	0.742312629788	0.755461683118	0.729872782156	0.736429280211	0.731199005178	0.728233292334	0.700839887202	0.693585742772	0.722004651746	0.721524822113	0.692375919246	0.697234631228	0.890243035865	0.855684989504	0.845840294798	0.842744178321	0.843690774604	0.841334090531	0.908398398911	0.942206647912	0.918770044692	0.914547871593	0.850235613387	0.854834005087	0.856513779679	0.856276400714	0.846995486132	0.842957500842	0.854717165386	0.849317620149	0.808305116711	0.761092981058	0.758794423398
ERR2233233	0.653546312205	0.67546504531	0.678383944688	0.658524007332	0.658552367752	0.0	0.67037209948	0.655236749493	0.670231395716	0.66390354219	0.739503367702	0.814946299152	0.693800711129	0.690617944455	0.83566741501	0.834789038421	0.809472319012	0.803861938197	0.806517242086	0.826245931414	0.89225956215	0.914768402562	0.874781250558	0.836285348859	0.816025218217	0.710763599181	0.836425847549	0.810524885267	0.881114276579	0.859274574612	0.821983839433	0.68314539034	0.698261079287	0.672798060138	0.818799611483	0.712776632527	0.700217807606	0.709510860277	0.704031849054	0.688623391369	0.682334808611	0.654245957512	0.656357275198	0.654322472748	0.648546806515	0.662605485434	0.652385402112	0.653713647798	0.660957936096	0.75582056928	0.738672607263	0.766712871087	0.763154165835	0.740271134065	0.763478797687	0.681363008215	0.68935168749	0.744558115868	0.759774811097	0.718899873478	0.730921293754	0.718340474785	0.718181525876	0.701135732683	0.689484080208	0.712663560362	0.709138899592	0.687131763593	0.696634015121	0.899546785403	0.862515081662	0.85262288223	0.852288810614	0.852269221794	0.848646027663	0.914894935625	0.95026707236	0.924693126144	0.922628659476	0.872763560002	0.864476050659	0.86305837283	0.863931014871	0.855695924304	0.867057403782	0.86256919711	0.856956746007	0.840140272472	0.76319437464	0.755030428563
ERR2233234	0.668252758822	0.654256430568	0.677574579588	0.677753318155	0.644778821809	0.67037209948	0.0	0.662873623081	0.67242290493	0.667694188577	0.731425926762	0.823739310788	0.697476928556	0.689432871214	0.822988991831	0.825324488293	0.804035455573	0.797420952567	0.808974855072	0.800861457397	0.885203600195	0.91009786915	0.868812825494	0.834390549876	0.81444810368	0.671117564129	0.829541075324	0.813336242932	0.882624963806	0.828236763427	0.817924481534	0.679435273079	0.706345154568	0.667855267433	0.824705726151	0.665830249263	0.692899367963	0.670382897001	0.704710395219	0.680639730484	0.675433058879	0.676899516941	0.664870267998	0.668158458964	0.665392083597	0.668211909711	0.668129497905	0.656158740182	0.660612356185	0.765393057203	0.753615552305	0.767744612969	0.769934399472	0.756624796797	0.777933542061	0.691023504463	0.692159798933	0.751853400409	0.762846984453	0.726491949931	0.745855579993	0.722607239162	0.725256438386	0.707799576479	0.704032200317	0.721657969587	0.717370554328	0.693092376645	0.712162286767	0.892533563698	0.855105691936	0.847175099584	0.843872019121	0.842584050303	0.842525079912	0.910548037764	0.944958224871	0.919702573866	0.916153167367	0.856963019541	0.860468634177	0.856181448275	0.858488336537	0.855553352448	0.845956726735	0.862608310406	0.856685968243	0.811529575249	0.764122862846	0.757576241632
ERR2233235	0.655252547039	0.667806653928	0.662871615353	0.667067981501	0.663228283568	0.655236749493	0.662873623081	0.0	0.653000202722	0.646922716461	0.752160118467	0.835199350647	0.691258650088	0.678716297688	0.841729785522	0.840528996023	0.81650909191	0.810844192935	0.816250369267	0.83360264888	0.891576112984	0.915793396428	0.872168655358	0.84098917943	0.822093732221	0.688726382516	0.839638023269	0.824591594075	0.887818037711	0.861862941088	0.825235456446	0.66815484711	0.692822555162	0.653541899693	0.839508446346	0.691227878219	0.673766395795	0.69852176989	0.694075986121	0.668791822617	0.659018743229	0.66710511962	0.653978884549	0.652692419017	0.654951721807	0.652494085268	0.653426189834	0.645820932759	0.639290816735	0.765128958462	0.754673998883	0.775908418317	0.771344957536	0.753086438706	0.778051754402	0.681246332976	0.679484101531	0.746894311374	0.761930621592	0.711326447511	0.737485284776	0.713323634777	0.71489546548	0.693894822381	0.688743679098	0.704188490147	0.704666788505	0.681416228867	0.712090646043	0.899038319747	0.859042809869	0.848370150081	0.847609853543	0.846849704281	0.845885071841	0.914485503626	0.948179756196	0.921146275271	0.91861025906	0.878410024052	0.866408459559	0.862044097934	0.864310612454	0.863641294268	0.869997450924	0.86715714719	0.864984059144	0.844405329448	0.775548349886	0.762295096452
ERR2233236	0.671330733538	0.681794837929	0.660626655414	0.695954724217	0.683700870405	0.670231395716	0.67242290493	0.653000202722	0.0	0.647945850592	0.768345948127	0.844380184874	0.697060212289	0.685583218845	0.840832853012	0.840784510476	0.815611548966	0.814197824087	0.814029538154	0.831130259646	0.888388371395	0.91372471062	0.871710148039	0.841426670464	0.820876403659	0.676404679125	0.840061219539	0.827891136532	0.889600099917	0.860910331617	0.821882463792	0.659622711777	0.706129675283	0.645079454337	0.844818719389	0.679395291777	0.667448326188	0.6993542354	0.704368400939	0.651907497747	0.650933795453	0.687600271859	0.672697085346	0.664664622754	0.661890894854	0.65064964209	0.667629516261	0.647452584292	0.641390861305	0.773488460403	0.76695630899	0.77279116513	0.778630774074	0.764263335761	0.79084223696	0.690469593207	0.687857903452	0.75180687283	0.762644343691	0.714032181631	0.74654218494	0.71047663894	0.718111412753	0.705233029499	0.705257066987	0.706299552772	0.706489121636	0.683045204501	0.724589082188	0.897607314077	0.854562332079	0.846225089822	0.844552214289	0.845688105653	0.844220369087	0.910949990309	0.947454373595	0.919106290283	0.915158014613	0.877153226724	0.867047294196	0.861239843002	0.863208331757	0.864849601347	0.871881504577	0.869815430392	0.865696674825	0.843234822015	0.771264927742	0.761401115501
ERR2233237	0.663294735192	0.674929695441	0.658803111824	0.684042083856	0.673579598333	0.66390354219	0.667694188577	0.646922716461	0.647945850592	0.0	0.759329773525	0.840403952487	0.69191894009	0.676655325016	0.840246493272	0.838416339914	0.814293075863	0.80811076257	0.812751576196	0.830786103074	0.890572331448	0.915027056931	0.872896581588	0.837592386061	0.815232091342	0.677756533323	0.835554753973	0.829353473973	0.893259203387	0.857982895831	0.820140099078	0.655531618939	0.701680346553	0.644438124367	0.84076305994	0.679768883185	0.667593273855	0.696587997409	0.696710536928	0.65425132321	0.64819284757	0.678232075327	0.658155888163	0.663135173872	0.662686892672	0.652099190535	0.6646274503	0.641076940058	0.64501601117	0.774183609831	0.761623405837	0.775642926503	0.780270355134	0.761844426505	0.788733427541	0.688803855767	0.68670610551	0.75364249687	0.765154103185	0.712254917293	0.746799074141	0.70942220458	0.722780782199	0.697994570544	0.700599927854	0.70697504365	0.705375278128	0.682906103142	0.716049826033	0.899698289283	0.858135439446	0.846819994856	0.845267854814	0.84436010453	0.843562990658	0.912467084707	0.948190735101	0.920403736111	0.919172848928	0.87843468767	0.866191694177	0.861066144372	0.862629944173	0.863512192867	0.870219327461	0.868901825726	0.865630903424	0.841291223364	0.768042020412	0.760233215607
