# The tests of significance were performed using a two-sided Student's two-sample t-test.
# Alternative hypothesis: Group 1 mean != Group 2 mean
# Entries marked with "N/A" could not be calculated because at least one of the groups
# of distances was empty, both groups each contained only a single distance, or
# the test could not be performed (e.g. no variance in groups with the same mean).
Group 1	Group 2	t statistic	Parametric p-value	Parametric p-value (Bonferroni-corrected)	Nonparametric p-value	Nonparametric p-value (Bonferroni-corrected)
All within site_name	All between site_name	-30.9957380431	2.9553312911660336e-189	9.10537570808255e-186	N/A	N/A
All within site_name	Phippsburg vs. Phippsburg	1.82441766534	0.06869529103647909	1	N/A	N/A
All within site_name	The Eddy vs. The Eddy	8.28373761846	6.661338147750939e-16	2.0523582833220644e-12	N/A	N/A
All within site_name	Fort Popham vs. Fort Popham	2.49958466635	0.012758548139360837	1	N/A	N/A
All within site_name	Merrow Island vs. Merrow Island	-0.380464497338	[0.70376966]	1	N/A	N/A
All within site_name	Station 3 vs. Station 3	1.33891332516	0.18119187546403714	1	N/A	N/A
All within site_name	Cross River vs. Cross River	0.834868287301	0.40419707342811106	1	N/A	N/A
All within site_name	Cape Shores vs. Cape Shores	-0.59718204237	0.5506534981337436	1	N/A	N/A
All within site_name	HH200 vs. HH200	-4.11478575839	4.477186705165138e-05	0.1379421223861379	N/A	N/A
All within site_name	Oude Bieten Haven A vs. Oude Bieten Haven A	-0.511563381532	0.6091918664844341	1	N/A	N/A
All within site_name	Oude Bieten Haven B vs. Oude Bieten Haven B	-1.1030459734	0.2705599107215808	1	N/A	N/A
All within site_name	Station A vs. Station A	-13.0097746768	7.10571550152576e-34	2.1892709460200865e-30	N/A	N/A
All within site_name	Phippsburg vs. The Eddy	-2.43548985639	0.01515748640230551	1	N/A	N/A
All within site_name	Phippsburg vs. Fort Popham	0.403541073067	0.6867183727951662	1	N/A	N/A
All within site_name	Phippsburg vs. Merrow Island	-0.848535433839	0.396555019367437	1	N/A	N/A
All within site_name	Phippsburg vs. Station 3	-22.3592569683	1.566829217676036e-78	4.827400819659867e-75	N/A	N/A
All within site_name	Phippsburg vs. Cross River	-3.74916457457	0.00019761438800414247	0.608849929440763	N/A	N/A
All within site_name	Phippsburg vs. Cape Shores	-4.44722905021	1.0623014478489215e-05	0.032729507608225274	N/A	N/A
All within site_name	Phippsburg vs. HH200	-16.3279301001	3.8466079603816854e-49	1.1851399125935973e-45	N/A	N/A
All within site_name	Phippsburg vs. Oude Bieten Haven A	-6.34183902294	5.123401037026456e-10	1.5785198595078513e-06	N/A	N/A
All within site_name	Phippsburg vs. Oude Bieten Haven B	-5.70161311632	2.0423703043027632e-08	6.292542907556814e-05	N/A	N/A
All within site_name	Phippsburg vs. Station A	-25.5661045173	1.5152661487101036e-95	4.668535004175829e-92	N/A	N/A
All within site_name	Phippsburg vs. Lowes Cove	-1.54756366668	0.12238232815171499	1	N/A	N/A
All within site_name	The Eddy vs. Fort Popham	1.1507077995	0.2503040794769973	1	N/A	N/A
All within site_name	The Eddy vs. Merrow Island	2.94477126051	0.0033763122793866174	1	N/A	N/A
All within site_name	The Eddy vs. Station 3	-35.7291728492	9.205593149632847e-158	2.83624324940188e-154	N/A	N/A
All within site_name	The Eddy vs. Cross River	1.05568726605	0.2915297282139344	1	N/A	N/A
All within site_name	The Eddy vs. Cape Shores	-11.4846197041	6.184337167334175e-28	1.9053942812556594e-24	N/A	N/A
All within site_name	The Eddy vs. HH200	-22.8799560271	4.626480085480347e-88	1.4254185143364949e-84	N/A	N/A
All within site_name	The Eddy vs. Oude Bieten Haven A	-8.66744608801	5.0981680182213746e-17	1.5707455664140056e-13	N/A	N/A
All within site_name	The Eddy vs. Oude Bieten Haven B	-8.19250009951	1.844525565152722e-15	5.682983266235536e-12	N/A	N/A
All within site_name	The Eddy vs. Station A	-41.3927310459	6.923330833760228e-195	2.1330782298815263e-191	N/A	N/A
All within site_name	The Eddy vs. Lowes Cove	-3.01616687761	0.0026904824455614477	1	N/A	N/A
All within site_name	Fort Popham vs. Merrow Island	0.476553724913	0.6338928119848122	1	N/A	N/A
All within site_name	Fort Popham vs. Station 3	-20.4567370913	5.086371686390254e-69	1.5671111165768373e-65	N/A	N/A
All within site_name	Fort Popham vs. Cross River	-2.08835559374	0.037258259202056665	1	N/A	N/A
All within site_name	Fort Popham vs. Cape Shores	-3.64075783606	0.0002987659691557739	0.9204979509689394	N/A	N/A
All within site_name	Fort Popham vs. HH200	-14.0428645635	1.707176515305698e-38	5.259810843656856e-35	N/A	N/A
All within site_name	Fort Popham vs. Oude Bieten Haven A	-4.91254684757	1.223703759640004e-06	0.003770231283450852	N/A	N/A
All within site_name	Fort Popham vs. Oude Bieten Haven B	-4.62609346678	4.763849676272132e-06	0.014677420852594438	N/A	N/A
All within site_name	Fort Popham vs. Station A	-23.996470685	1.4648627507700658e-87	4.513242135122573e-84	N/A	N/A
All within site_name	Fort Popham vs. Lowes Cove	-1.25187392732	0.2112217052885905	1	N/A	N/A
All within site_name	Merrow Island vs. Station 3	-10.8391317302	1.0416318161269052e-24	3.209267625486995e-21	N/A	N/A
All within site_name	Merrow Island vs. Cross River	0.654327409237	0.513208505764756	1	N/A	N/A
All within site_name	Merrow Island vs. Cape Shores	-3.64511710386	0.0002956548756997987	0.9109126720310798	N/A	N/A
All within site_name	Merrow Island vs. HH200	-7.02564880093	6.989437467685519e-12	2.1534456837939085e-08	N/A	N/A
All within site_name	Merrow Island vs. Oude Bieten Haven A	-2.87235907418	0.004253444695750129	1	N/A	N/A
All within site_name	Merrow Island vs. Oude Bieten Haven B	-2.74486364426	0.0062791612734318806	1	N/A	N/A
All within site_name	Merrow Island vs. Station A	-13.13042667	4.686162779770548e-34	1.4438067524473058e-30	N/A	N/A
All within site_name	Merrow Island vs. Lowes Cove	-1.08940762162	0.2765219382663148	1	N/A	N/A
All within site_name	Station 3 vs. Cross River	-18.4115158504	6.530594813737088e-59	2.0120762621123968e-55	N/A	N/A
All within site_name	Station 3 vs. Cape Shores	-27.0596373486	4.19168172298174e-103	1.291457138850674e-99	N/A	N/A
All within site_name	Station 3 vs. HH200	-19.4110496352	3.6542132904586543e-65	1.1258631147903114e-61	N/A	N/A
All within site_name	Station 3 vs. Oude Bieten Haven A	-15.3382015274	7.461903343350661e-44	2.2990124200863385e-40	N/A	N/A
All within site_name	Station 3 vs. Oude Bieten Haven B	-15.9490314002	1.170165359623488e-46	3.605279472999967e-43	N/A	N/A
All within site_name	Station 3 vs. Station A	-13.6400168098	5.572429864788522e-37	1.7168656413413437e-33	N/A	N/A
All within site_name	Station 3 vs. Lowes Cove	-9.62873352482	3.3546734784548816e-20	1.033574898711949e-16	N/A	N/A
All within site_name	Cross River vs. Cape Shores	-8.90166563278	8.951272745851908e-18	2.7578871329969727e-14	N/A	N/A
All within site_name	Cross River vs. HH200	-11.805392104	8.06663369085861e-29	2.4853298401535376e-25	N/A	N/A
All within site_name	Cross River vs. Oude Bieten Haven A	-6.04839555909	2.8865308260650697e-09	8.89340147510648e-06	N/A	N/A
All within site_name	Cross River vs. Oude Bieten Haven B	-5.92865277815	5.733660942117773e-09	1.766540936266486e-05	N/A	N/A
All within site_name	Cross River vs. Station A	-22.0147158513	1.8318291884875747e-77	5.643865729730218e-74	N/A	N/A
All within site_name	Cross River vs. Lowes Cove	-2.1563030194	0.031552984556749035	1	N/A	N/A
All within site_name	Cape Shores vs. HH200	-21.1815651921	5.566536093772066e-74	1.7150497704911737e-70	N/A	N/A
All within site_name	Cape Shores vs. Oude Bieten Haven A	-7.16298434285	2.8353189088319995e-12	8.73561755811139e-09	N/A	N/A
All within site_name	Cape Shores vs. Oude Bieten Haven B	-6.2955688766	6.697925130504245e-10	2.0636307327083577e-06	N/A	N/A
All within site_name	Cape Shores vs. Station A	-29.086301384	6.333986976972202e-115	1.9515013876051353e-111	N/A	N/A
All within site_name	Cape Shores vs. Lowes Cove	-1.58146880601	0.1144227687026294	1	N/A	N/A
All within site_name	HH200 vs. Oude Bieten Haven A	-9.9082984221	2.711432589643953e-21	8.353923808693019e-18	N/A	N/A
All within site_name	HH200 vs. Oude Bieten Haven B	-10.6224595467	5.858442064058246e-24	1.8049859999363458e-20	N/A	N/A
All within site_name	HH200 vs. Station A	-26.2983185654	5.228843851285055e-103	1.6110067905809253e-99	N/A	N/A
All within site_name	HH200 vs. Lowes Cove	-7.05330316865	5.9988975410428776e-12	1.8482603323953104e-08	N/A	N/A
All within site_name	Oude Bieten Haven A vs. Oude Bieten Haven B	-0.529193528228	0.5969128243101419	1	N/A	N/A
All within site_name	Oude Bieten Haven A vs. Station A	-16.9362984035	1.9629586180170974e-51	6.047875502110677e-48	N/A	N/A
All within site_name	Oude Bieten Haven A vs. Lowes Cove	-2.25861245119	0.02435554225236519	1	N/A	N/A
All within site_name	Oude Bieten Haven B vs. Station A	-17.3601811673	1.9037916641988968e-53	5.8655821173968015e-50	N/A	N/A
All within site_name	Oude Bieten Haven B vs. Lowes Cove	-1.9812123608	0.04813767234420269	1	N/A	N/A
All within site_name	Station A vs. Lowes Cove	-9.72012764272	1.550408931797137e-20	4.776809918866979e-17	N/A	N/A
All between site_name	Phippsburg vs. Phippsburg	7.38931608236	1.8318679906315083e-13	5.643985279135677e-10	N/A	N/A
All between site_name	The Eddy vs. The Eddy	30.0476768422	0.0	0.0	N/A	N/A
All between site_name	Fort Popham vs. Fort Popham	7.98740686984	1.7763568394002505e-15	5.472955422192172e-12	N/A	N/A
All between site_name	Merrow Island vs. Merrow Island	-1.82686617305	[0.06780441]	1	N/A	N/A
All between site_name	Station 3 vs. Station 3	10.1257981546	0.0	0.0	N/A	N/A
All between site_name	Cross River vs. Cross River	6.50934496723	8.610534507624834e-11	2.6529056817992114e-07	N/A	N/A
All between site_name	Cape Shores vs. Cape Shores	7.34313287776	2.573496971081113e-13	7.928944167900909e-10	N/A	N/A
All between site_name	HH200 vs. HH200	8.3426091071	2.220446049250313e-16	6.841194277740215e-13	N/A	N/A
All between site_name	Oude Bieten Haven A vs. Oude Bieten Haven A	2.12643351282	0.03353643026773456	1	N/A	N/A
All between site_name	Oude Bieten Haven B vs. Oude Bieten Haven B	1.60128353613	0.10940368856362936	1	N/A	N/A
All between site_name	Station A vs. Station A	-0.576946301062	0.5640119062271587	1	N/A	N/A
All between site_name	Phippsburg vs. The Eddy	14.9082646387	0.0	0.0	N/A	N/A
All between site_name	Phippsburg vs. Fort Popham	9.29422931032	0.0	0.0	N/A	N/A
All between site_name	Phippsburg vs. Merrow Island	4.40648733584	1.0817857066580672e-05	0.03332981762213505	N/A	N/A
