SampleID	ForwardFastqFile	ReverseFastqFile	TreatmentGroup	sample_accession	experiment_accession	geographic_location	library_name	site_name	sample_description	base_count	sample_title	Description	Reads	Shannon	Chao1	ACE
ERR2233253	ERR2233253_1.fastq	ERR2233253_2.fastq	Back River, Maine	SAMEA104452322	ERX2286232	Back River, Maine	Cross River WB 1	Cross River	worm burrow	41586000	bioturb_Cross River WB 1	bioturb_Cross River WB 1	24342	8.06310242195207	20617.5136162128	25110.2421171691
ERR2233254	ERR2233254_1.fastq	ERR2233254_2.fastq	Back River, Maine	SAMEA104452323	ERX2286233	Back River, Maine	Cross River WB 2	Cross River	worm burrow	43065158	bioturb_Cross River WB 2	bioturb_Cross River WB 2	24342	7.17404055416147	18360.0802139037	21627.0031432106
ERR2233255	ERR2233255_1.fastq	ERR2233255_2.fastq	Back River, Maine	SAMEA104452324	ERX2286234	Back River, Maine	Cross River WB 3	Cross River	worm burrow	39513544	bioturb_Cross River WB 3	bioturb_Cross River WB 3	24342	8.17575362410907	22137.4078383344	27120.3240979712
ERR2233256	ERR2233256_1.fastq	ERR2233256_2.fastq	Back River, Maine	SAMEA104452325	ERX2286235	Back River, Maine	Cross River sed 1	Cross River	sediment	41870268	bioturb_Cross River sed 1	bioturb_Cross River sed 1	24342	7.49156376740445	18793.3496161898	22470.3685165307
ERR2233257	ERR2233257_1.fastq	ERR2233257_2.fastq	Back River, Maine	SAMEA104452326	ERX2286236	Back River, Maine	Cross River sed 2	Cross River	sediment	50292692	bioturb_Cross River sed 2	bioturb_Cross River sed 2	24342	8.29259305059465	24597.0917320459	29940.833417576
ERR2233258	ERR2233258_1.fastq	ERR2233258_2.fastq	Back River, Maine	SAMEA104452327	ERX2286237	Back River, Maine	Cross River sed 3	Cross River	sediment	38982222	bioturb_Cross River sed 3	bioturb_Cross River sed 3	24342	7.29270345263932	18279.5757795504	21704.2790882686
ERR2233259	ERR2233259_1.fastq	ERR2233259_2.fastq	Damariscotta River, Maine	SAMEA104452328	ERX2286238	Damariscotta River, Maine	Lowes Cove WB	Lowes Cove	worm burrow	23483617	bioturb_Lowes Cove WB	bioturb_Lowes Cove WB	24342	7.74665135306626	13145.5788028556	15904.1276195169
ERR2233280	ERR2233280_1.fastq	ERR2233280_2.fastq	Gulf of Mexico	SAMEA104452349	ERX2286259	Gulf of Mexico	Sta A 0-1 cm 1	Station A	sediment	36875338	bioturb_Sta A 0-1 cm 1	bioturb_Sta A 0-1 cm 1	24342	5.30853621031217	7464.26480263158	8404.53565855174
ERR2233281	ERR2233281_1.fastq	ERR2233281_2.fastq	Gulf of Mexico	SAMEA104452350	ERX2286260	Gulf of Mexico	Sta A 0-1 cm 2	Station A	sediment	35353490	bioturb_Sta A 0-1 cm 2	bioturb_Sta A 0-1 cm 2	24342	5.54699520771184	8288.89274924471	9233.85553658295
ERR2233282	ERR2233282_1.fastq	ERR2233282_2.fastq	Gulf of Mexico	SAMEA104452351	ERX2286261	Gulf of Mexico	Sta A 2-3 cm 1	Station A	sediment	39603897	bioturb_Sta A 2-3 cm 1	bioturb_Sta A 2-3 cm 1	24342	5.75347751846792	7824.99093655589	8675.64238442677
ERR2233283	ERR2233283_1.fastq	ERR2233283_2.fastq	Gulf of Mexico	SAMEA104452352	ERX2286262	Gulf of Mexico	Sta A 2-3 cm 2	Station A	sediment	42030654	bioturb_Sta A 2-3 cm 2	bioturb_Sta A 2-3 cm 2	24342	5.38670789445719	8272.06752411576	9343.18056640766
ERR2233284	ERR2233284_1.fastq	ERR2233284_2.fastq	Gulf of Mexico	SAMEA104452353	ERX2286263	Gulf of Mexico	Sta A 4-5 cm 1	Station A	sediment	35493336	bioturb_Sta A 4-5 cm 1	bioturb_Sta A 4-5 cm 1	24342	5.19009773424743	7343.40472175379	8044.6646134393
ERR2233285	ERR2233285_1.fastq	ERR2233285_2.fastq	Gulf of Mexico	SAMEA104452354	ERX2286264	Gulf of Mexico	Sta A 4-5 cm 2	Station A	sediment	46952795	bioturb_Sta A 4-5 cm 2	bioturb_Sta A 4-5 cm 2	24342	5.00087265170841	7042.18804920914	7995.71618039633
ERR2233286	ERR2233286_1.fastq	ERR2233286_2.fastq	Gulf of Mexico	SAMEA104452355	ERX2286265	Gulf of Mexico	Sta A 9-10 cm 1	Station A	sediment	37382396	bioturb_Sta A 9-10 cm 1	bioturb_Sta A 9-10 cm 1	24342	5.88965515157	7639.11686390532	8521.14764488846
ERR2233287	ERR2233287_1.fastq	ERR2233287_2.fastq	Gulf of Mexico	SAMEA104452356	ERX2286266	Gulf of Mexico	Sta A 9-10 cm 2	Station A	sediment	40593531	bioturb_Sta A 9-10 cm 2	bioturb_Sta A 9-10 cm 2	24342	5.86544851000742	9111.03686635945	10074.247865155
ERR2233288	ERR2233288_1.fastq	ERR2233288_2.fastq	Gulf of Mexico	SAMEA104452357	ERX2286267	Gulf of Mexico	Sta A 44-46 cm 1	Station A	sediment	32299577	bioturb_Sta A 44-46 cm 1	bioturb_Sta A 44-46 cm 1	24342	4.2064438124534	2839.62608695652	3089.68657615496
ERR2233289	ERR2233289_1.fastq	ERR2233289_2.fastq	Gulf of Mexico	SAMEA104452358	ERX2286268	Gulf of Mexico	Sta A 44-46 cm 2	Station A	sediment	41972274	bioturb_Sta A 44-46 cm 2	bioturb_Sta A 44-46 cm 2	24342	3.92242459707569	2805.6037037037	2998.83435872155
ERR2233290	ERR2233290_1.fastq	ERR2233290_2.fastq	Gulf of Mexico	SAMEA104452359	ERX2286269	Gulf of Mexico	Sta A 50-52 cm 1	Station A	sediment	35131096	bioturb_Sta A 50-52 cm 1	bioturb_Sta A 50-52 cm 1	24342	3.85545333643259	2797.42056074766	3037.90940328612
ERR2233291	ERR2233291_1.fastq	ERR2233291_2.fastq	Gulf of Mexico	SAMEA104452360	ERX2286270	Gulf of Mexico	Sta A 50-52 cm 2	Station A	sediment	41769208	bioturb_Sta A 50-52 cm 2	bioturb_Sta A 50-52 cm 2	24342	2.99832317486815	910.857142857143	877.526770412193
ERR2233292	ERR2233292_1.fastq	ERR2233292_2.fastq	Gulf of Mexico	SAMEA104452361	ERX2286271	Gulf of Mexico	Sta 3 10-12 cm 1	Station 3	sediment	55873203	bioturb_Sta 3 10-12 cm 1	bioturb_Sta 3 10-12 cm 1	24342	6.44274884563714	10971.1875	12380.6297079696
ERR2233293	ERR2233293_1.fastq	ERR2233293_2.fastq	Gulf of Mexico	SAMEA104452362	ERX2286272	Gulf of Mexico	Sta 3 10-12 cm 2	Station 3	sediment	42696144	bioturb_Sta 3 10-12 cm 2	bioturb_Sta 3 10-12 cm 2	24342	6.34097915909334	9981.51015228426	11210.2194487956
ERR2233295	ERR2233295_1.fastq	ERR2233295_2.fastq	Gulf of Mexico	SAMEA104452364	ERX2286274	Gulf of Mexico	Sta 3 12-14 cm 2	Station 3	sediment	42803631	bioturb_Sta 3 12-14 cm 2	bioturb_Sta 3 12-14 cm 2	24342	6.15972671363751	9534.1832884097	10838.3830770163
ERR2233296	ERR2233296_1.fastq	ERR2233296_2.fastq	Gulf of Mexico	SAMEA104452365	ERX2286275	Gulf of Mexico	Sta 3 14-16 cm 1	Station 3	sediment	27701307	bioturb_Sta 3 14-16 cm 1	bioturb_Sta 3 14-16 cm 1	24342	6.0078710479691	6495.48973607038	7147.77060905319
ERR2233297	ERR2233297_1.fastq	ERR2233297_2.fastq	Gulf of Mexico	SAMEA104452366	ERX2286276	Gulf of Mexico	Sta 3 14-16 cm 2	Station 3	sediment	39756401	bioturb_Sta 3 14-16 cm 2	bioturb_Sta 3 14-16 cm 2	24342	6.10045992307079	8746.8059490085	9888.24131321901
ERR2233299	ERR2233299_1.fastq	ERR2233299_2.fastq	Gulf of Mexico	SAMEA104452368	ERX2286278	Gulf of Mexico	Sta 3 18-20 cm 2	Station 3	sediment	48289087	bioturb_Sta 3 18-20 cm 2	bioturb_Sta 3 18-20 cm 2	24342	4.12702819041422	2720.52380952381	2717.80709272725
ERR2233300	ERR2233300_1.fastq	ERR2233300_2.fastq	Gulf of Mexico	SAMEA104452369	ERX2286279	Gulf of Mexico	Sta 3 20-22 cm 1	Station 3	sediment	47874895	bioturb_Sta 3 20-22 cm 1	bioturb_Sta 3 20-22 cm 1	24342	4.28848576668962	3195.50755287009	3300.86333065434
ERR2233301	ERR2233301_1.fastq	ERR2233301_2.fastq	Gulf of Mexico	SAMEA104452370	ERX2286280	Gulf of Mexico	Sta 3 20-22 cm 2	Station 3	sediment	70739775	bioturb_Sta 3 20-22 cm 2	bioturb_Sta 3 20-22 cm 2	24342	3.75463353892161	1455.5	1371.0799373916
ERR2233303	ERR2233303_1.fastq	ERR2233303_2.fastq	Gulf of Mexico	SAMEA104452372	ERX2286282	Gulf of Mexico	Sta 3 30-30.5 cm 2	Station 3	sediment	29059569	bioturb_Sta 3 30-30.5 cm 2	bioturb_Sta 3 30-30.5 cm 2	24342	4.93228062336448	5060.49685534591	5542.82864865074
ERR2233260	ERR2233260_1.fastq	ERR2233260_2.fastq	Kennebec River, Maine	SAMEA104452329	ERX2286239	Kennebec River, Maine	Phipps WB-1	Phippsburg	worm burrow	27523195	bioturb_Phipps WB-1	bioturb_Phipps WB-1	24342	8.08348356191851	16924.6020236088	20836.1287245025
ERR2233261	ERR2233261_1.fastq	ERR2233261_2.fastq	Kennebec River, Maine	SAMEA104452330	ERX2286240	Kennebec River, Maine	Phipps WB-2	Phippsburg	worm burrow	30062263	bioturb_Phipps WB-2	bioturb_Phipps WB-2	24342	8.24977319272051	17800.7903726708	21950.8895044319
ERR2233262	ERR2233262_1.fastq	ERR2233262_2.fastq	Kennebec River, Maine	SAMEA104452331	ERX2286241	Kennebec River, Maine	Phipps WB-3	Phippsburg	worm burrow	35839117	bioturb_Phipps WB-3	bioturb_Phipps WB-3	24342	7.9029185158956	17000.4431680774	20441.4704735699
