Length	Count
311.0	124
321.0	120
331.0	115
341.0	49
351.0	22
361.0	32
371.0	51
381.0	21
391.0	38
401.0	14604
411.0	61909
421.0	18
431.0	49
441.0	20
451.0	0
461.0	8
471.0	3
481.0	5
491.0	2
501.0	11
511.0	12
521.0	29
531.0	3
541.0	2
551.0	0
561.0	2
571.0	34
581.0	11
591.0	6
--

Length	Count
311.0	123
321.0	124
331.0	84
341.0	41
351.0	18
361.0	32
371.0	38
381.0	10
391.0	20
401.0	12502
411.0	53041
421.0	21
431.0	74
441.0	30
451.0	8
461.0	4
471.0	1
481.0	1
491.0	1
501.0	18
511.0	15
521.0	26
531.0	4
541.0	1
551.0	1
561.0	0
571.0	16
581.0	27
591.0	18
--

Length	Count
310.0	272
320.0	174
330.0	100
340.0	30
350.0	9
360.0	20
370.0	14
380.0	3
390.0	11
400.0	11983
410.0	44051
420.0	40
430.0	20
440.0	2
450.0	0
460.0	0
470.0	0
480.0	0
490.0	2
500.0	0
510.0	2
520.0	1
530.0	0
540.0	1
550.0	0
560.0	0
570.0	2
580.0	2
590.0	0
--

Length	Count
310.0	222
320.0	157
330.0	84
340.0	16
350.0	9
360.0	11
370.0	12
380.0	6
390.0	8
400.0	9454
410.0	44886
420.0	36
430.0	19
440.0	14
450.0	0
460.0	2
470.0	0
480.0	1
490.0	2
500.0	1
510.0	6
520.0	9
530.0	2
540.0	1
550.0	0
560.0	1
570.0	3
580.0	6
590.0	5
600.0	0
--

Length	Count
311.0	211
321.0	149
331.0	74
341.0	10
351.0	4
361.0	10
371.0	11
381.0	9
391.0	11
401.0	13252
411.0	42558
421.0	28
431.0	23
441.0	11
451.0	2
461.0	5
471.0	0
481.0	0
491.0	2
501.0	2
511.0	5
521.0	5
531.0	1
541.0	0
551.0	2
561.0	0
571.0	6
581.0	11
591.0	6
--

Length	Count
311.0	238
321.0	176
331.0	91
341.0	12
351.0	11
361.0	10
371.0	14
381.0	2
391.0	8
401.0	11630
411.0	49133
421.0	14
431.0	31
441.0	12
451.0	2
461.0	1
471.0	2
481.0	1
491.0	3
501.0	8
511.0	11
521.0	11
531.0	4
541.0	3
551.0	2
561.0	0
571.0	0
581.0	3
591.0	0
--

Length	Count
311.0	185
321.0	146
331.0	71
341.0	21
351.0	9
361.0	13
371.0	9
381.0	6
391.0	5
401.0	10543
411.0	39136
421.0	13
431.0	31
441.0	24
451.0	1
461.0	5
471.0	0
481.0	0
491.0	3
501.0	2
511.0	9
521.0	18
531.0	2
541.0	1
551.0	1
561.0	3
571.0	1
581.0	4
591.0	0
--

Length	Count
308.0	267
318.0	145
328.0	108
338.0	24
348.0	8
358.0	8
368.0	9
378.0	11
388.0	7
398.0	943
408.0	59158
